source_row_number,source_sheet_name,Unnamed: 2,pinyin,MC (NWH),MC (B&S),GSR,漢語大字典,廣韻,Unnamed: 9,normalized_character,normalized_pinyin,normalized_mc_nwh,normalized_mc_bs,normalized_gsr,normalized_hanyu_dazidian,normalized_guangyun
2432,Feuil1,銳,dui4,dwayH,dwajH,0324f,64211.121,376.07 381.34,13,銳,dui4,dwayH,dwajH,0324f,64211.121,376.07 381.34
2433,Feuil1,銳,rui4,yiweyH,ywejH,0324f,64211.121,376.07 381.34,13,銳,rui4,yiweyH,ywejH,0324f,64211.121,376.07 381.34
2434,Feuil1,帨,shui4,śiweyH,sywejH,0324g,10741.070,375.44 376.28,13,帨,shui4,śiweyH,sywejH,0324g,10741.070,375.44 376.28
2435,Feuil1,帨,shui4,tshiweyH,tshjwejH,0324g,10741.070,375.44 376.28,13,帨,shui4,tshiweyH,tshjwejH,0324g,10741.070,375.44 376.28
2436,Feuil1,涗,shui4,śiweyH,sywejH,0324h,31633.040,376.30,6,涗,shui4,śiweyH,sywejH,0324h,31633.040,376.30
2437,Feuil1,涗,shui4,tshiweyH,tshjwejH,0324h,31633.040,376.30,6,涗,shui4,tshiweyH,tshjwejH,0324h,31633.040,376.30
2438,Feuil1,稅,shui4,śiweyH,sywejH,0324i,42609.101,376.24,6,稅,shui4,śiweyH,sywejH,0324i,42609.101,376.24
2439,Feuil1,稅,tui4,thwayH,thwajH,0324i,42609.101,376.24,6,稅,tui4,thwayH,thwajH,0324i,42609.101,376.24
2440,Feuil1,敓,duo2,dwat,dwat,0324j,21463.060,486.28,6,敓,duo2,dwat,dwat,0324j,21463.060,486.28
2441,Feuil1,挩,tuo1,thwat,thwat,0324l,31887.070,486.30 487.06,13,挩,tuo1,thwat,thwat,0324l,31887.070,486.30 487.06
2442,Feuil1,脫,tui4,thwayH,thwajH,0324m,32081.010,486.29 487.07,13,脫,tui4,thwayH,thwajH,0324m,32081.010,486.29 487.07
2443,Feuil1,梲,zhuo2,ciwet,tsywet,0324n,21217.031,480.44 487.09 499.05,20,梲,zhuo2,ciwet,tsywet,0324n,21217.031,480.44 487.09 499.05
2444,Feuil1,悅,yue4,yiwet,ywet,0324o,42306.151,498.35,6,悅,yue4,yiwet,ywet,0324o,42306.151,498.35
2445,Feuil1,閱,yue4,yiwet,ywet,0324p,74301.070,498.37,6,閱,yue4,yiwet,ywet,0324p,74301.070,498.37
2446,Feuil1,說,shui4,śiweyH,sywejH,0324q,63979.031,376.25 498.36 499.01,20,說,shui4,śiweyH,sywejH,0324q,63979.031,376.25 498.36 499.01
2447,Feuil1,說,shuo1,śiwet,sywet,0324q,63979.031,376.25 498.36 499.01,20,說,shuo1,śiwet,sywet,0324q,63979.031,376.25 498.36 499.01
2448,Feuil1,最,zui4,tswayH,tswajH,0325a,21516.080,382.10,6,最,zui4,tswayH,tswajH,0325a,21516.080,382.10
2449,Feuil1,蕞,zui4,dzwayH,dzwajH,0325c,53290.120,382.34,6,蕞,zui4,dzwayH,dzwajH,0325c,53290.120,382.34
2450,Feuil1,嘬,chuai4,tṣhwaeyH,tsrhwaejH,0325d,10682.190,387.01,6,嘬,chuai4,tṣhwaeyH,tsrhwaejH,0325d,10682.190,387.01
2451,Feuil1,嘬,chuai4,tṣhweayH,tsrhweajH,0325d,10682.190,387.01,6,嘬,chuai4,tṣhweayH,tsrhweajH,0325d,10682.190,387.01
2452,Feuil1,撮,cuo1,tshwat,tshwat,0325e,31957.020,486.52 487.23,13,撮,cuo1,tshwat,tshwat,0325e,31957.020,486.52 487.23
2453,Feuil1,撮,zui4,tswayH,tswajH,0325e,31957.020,486.52 487.23,13,撮,zui4,tswayH,tswajH,0325e,31957.020,486.52 487.23
2454,Feuil1,蠆,chai4,ṭhaeyH,trhaejH,0326a,42889.200,387.07,6,蠆,chai4,ṭhaeyH,trhaejH,0326a,42889.200,387.07
2455,Feuil1,介,jie4,keayH,keajH,0327a,10103.090,384.51,6,介,jie4,keayH,keajH,0327a,10103.090,384.51
2456,Feuil1,介,jie4,keat,keat,0327a,10103.090,384.51,6,介,jie4,keat,keat,0327a,10103.090,384.51
2457,Feuil1,价,jie4,keayH,keajH,0327d,10124.070,385.09,6,价,jie4,keayH,keajH,0327d,10124.070,385.09
2458,Feuil1,界,jie4,keayH,keajH,0327e,42534.020,384.50,6,界,jie4,keayH,keajH,0327e,42534.020,384.50
2459,Feuil1,疥,jie4,keayH,keajH,0327f,42662.130,385.02,6,疥,jie4,keayH,keajH,0327f,42662.130,385.02
2460,Feuil1,齘,xie4,ḫeayH,heajH,0327h,74790.030,385.33,6,齘,xie4,ḫeayH,heajH,0327h,74790.030,385.33
2461,Feuil1,𢗊,xie4,heayH,xeajH,0327i,42274.020,385.29,6,𢗊,xie4,heayH,xeajH,0327i,42274.020,385.29
2462,Feuil1,芥,jia4,kaeyH,kaejH,0327j,53182.060,385.15,6,芥,jia4,kaeyH,kaejH,0327j,53182.060,385.15
2463,Feuil1,芥,jie4,keayH,keajH,0327j,53182.060,385.15,6,芥,jie4,keayH,keajH,0327j,53182.060,385.15
2464,Feuil1,紒,ji4,keyH,kejH,0327k,53374.100,,0,紒,ji4,keyH,kejH,0327k,53374.100,
2465,Feuil1,拜,bai4,peayH,peajH,0328a,31846.070,385.55,6,拜,bai4,peayH,peajH,0328a,31846.070,385.55
2466,Feuil1,憩,qi4,khieyH,khjejH,0329a,42350.110,378.70,6,憩,qi4,khieyH,khjejH,0329a,42350.110,378.70
2467,Feuil1,埶,yi4,ṅieyH,ngjejH,0330a,10455.040,378.31,6,埶,yi4,ṅieyH,ngjejH,0330a,10455.040,378.31
2468,Feuil1,埶,shi4,śieyH,syejH,0330a,10455.040,378.31,6,埶,shi4,śieyH,syejH,0330a,10455.040,378.31
2469,Feuil1,蓺,yi4,ṅieyH,ngjejH,0330e,53275.040,378.32,6,蓺,yi4,ṅieyH,ngjejH,0330e,53275.040,378.32
2470,Feuil1,藝,yi4,ṅieyH,ngjejH,0330f,53317.120,378.30,6,藝,yi4,ṅieyH,ngjejH,0330f,53317.120,378.30
2471,Feuil1,摰,nie4,ṅet,nget,0330g,31939.090,,0,摰,nie4,ṅet,nget,0330g,31939.090,
2472,Feuil1,槷,nie4,ṅet,nget,0330h,21272.100,494.46,6,槷,nie4,ṅet,nget,0330h,21272.100,494.46
2473,Feuil1,囈,yi4,ṅieyH,ngjejH,0330i,10705.130,378.35,6,囈,yi4,ṅieyH,ngjejH,0330i,10705.130,378.35
2474,Feuil1,熱,re4,ñiet,nyet,0330j,32230.100,497.35,6,熱,re4,ñiet,nyet,0330j,32230.100,497.35
2475,Feuil1,爇,ruo4,ñiwet,nywet,0330k,32244.060,498.45,6,爇,ruo4,ñiwet,nywet,0330k,32244.060,498.45
2476,Feuil1,勢,shi4,śieyH,syejH,0330l,10377.030,379.07,6,勢,shi4,śieyH,syejH,0330l,10377.030,379.07
2477,Feuil1,暬,xie4,siet,sjet,0330m,21532.070,496.39,6,暬,xie4,siet,sjet,0330m,21532.070,496.39
2478,Feuil1,褻,xie4,siet,sjet,0330n,53109.110,496.29,6,褻,xie4,siet,sjet,0330n,53109.110,496.29
2479,Feuil1,帠,yi4,ṅieyH,ngjejH,0331a,10739.230,,0,帠,yi4,ṅieyH,ngjejH,0331a,10739.230,
2480,Feuil1,瘞,yi4,qieyH,'jejH,0332a,42688.090,378.26,6,瘞,yi4,qieyH,'jejH,0332a,42688.090,378.26
2481,Feuil1,裔,yi4,yieyH,yejH,0333a,53091.010,377.52,6,裔,yi4,yieyH,yejH,0333a,53091.010,377.52
2482,Feuil1,彘,zhi4,ḍieyH,drjejH,0334a,20961.140,,0,彘,zhi4,ḍieyH,drjejH,0334a,20961.140,
2483,Feuil1,制,zhi4,cieyH,tsyejH,0335a,10335.010,377.20,6,制,zhi4,cieyH,tsyejH,0335a,10335.010,377.20
2484,Feuil1,製,zhi4,cieyH,tsyejH,0335b,53095.120,377.24,6,製,zhi4,cieyH,tsyejH,0335b,53095.120,377.24
2485,Feuil1,掣,che4,chieyH,tsyhejH,0335c,31889.040,377.12 500.60,13,掣,che4,chieyH,tsyhejH,0335c,31889.040,377.12 500.60
2486,Feuil1,掣,che4,chiet,tsyhet,0335c,31889.040,377.12 500.60,13,掣,che4,chiet,tsyhet,0335c,31889.040,377.12 500.60
2487,Feuil1,猘,ji4,kieyH,kjejH,0335d,21353.100,379.09,6,猘,ji4,kieyH,kjejH,0335d,21353.100,379.09
2488,Feuil1,筮,shi4,jieyH,dzyejH,0336a,52972.040,377.44,6,筮,shi4,jieyH,dzyejH,0336a,52972.040,377.44
2489,Feuil1,簭,shi4,jieyH,dzyejH,0336b,53013.170,377.45,6,簭,shi4,jieyH,dzyejH,0336b,53013.170,377.45
2490,Feuil1,噬,shi4,jieyH,dzyejH,0336c,10692.050,377.41,6,噬,shi4,jieyH,dzyejH,0336c,10692.050,377.41
2491,Feuil1,澨,shi4,jieyH,dzyejH,0336d,31759.050,377.46,6,澨,shi4,jieyH,dzyejH,0336d,31759.050,377.46
2492,Feuil1,祭,ji4,tsieyH,tsjejH,0337a,42397.070,375.06 384.46,13,祭,ji4,tsieyH,tsjejH,0337a,42397.070,375.06 384.46
2493,Feuil1,祭,zhai4,tṣeayH,tsreajH,0337a,42397.070,375.06 384.46,13,祭,zhai4,tṣeayH,tsreajH,0337a,42397.070,375.06 384.46
2494,Feuil1,穄,ji4,tsieyH,tsjejH,0337e,42630.010,375.08,6,穄,ji4,tsieyH,tsjejH,0337e,42630.010,375.08
2495,Feuil1,際,ji4,tsieyH,tsjejH,0337f,64154.150,375.07,6,際,ji4,tsieyH,tsjejH,0337f,64154.150,375.07
2496,Feuil1,傺,chi4,ṭhieyH,trhjejH,0337g,10214.010,379.22,6,傺,chi4,ṭhieyH,trhjejH,0337g,10214.010,379.22
2497,Feuil1,瘵,zhai4,tṣeayH,tsreajH,0337h,42694.060,384.45,6,瘵,zhai4,tṣeayH,tsreajH,0337h,42694.060,384.45
2498,Feuil1,蔡,cai4,tshayH,tshajH,0337i,53282.100,382.54,6,蔡,cai4,tshayH,tshajH,0337i,53282.100,382.54
2499,Feuil1,察,cha2,tṣheat,tsrheat,0337j,20948.080,488.56,6,察,cha2,tṣheat,tsrheat,0337j,20948.080,488.56
2500,Feuil1,曳,ye4,yieyH,yejH,0338a,21486.050,377.51,6,曳,ye4,yieyH,yejH,0338a,21486.050,377.51
2501,Feuil1,洩,xie4,yieyH,yejH,0338b,31606.090,378.01,6,洩,xie4,yieyH,yejH,0338b,31606.090,378.01
2502,Feuil1,絏,xie4,siet,sjet,0338c,53392.140,,0,絏,xie4,siet,sjet,0338c,53392.140,
2503,Feuil1,世,shi4,śieyH,syejH,0339a,10014.060,,0,世,shi4,śieyH,syejH,0339a,10014.060,
2504,Feuil1,貰,shi4,śieyH,syejH,0339d,63631.030,379.08 423.22,13,貰,shi4,śieyH,syejH,0339d,63631.030,379.08 423.22
2505,Feuil1,抴,yi4,yieyH,yejH,0339e,31849.010,378.16 500.62,13,抴,yi4,yieyH,yejH,0339e,31849.010,378.16 500.62
2506,Feuil1,抴,ye4,yiet,yet,0339e,31849.010,378.16 500.62,13,抴,ye4,yiet,yet,0339e,31849.010,378.16 500.62
2507,Feuil1,枻,yi4,yieyH,yejH,0339f,21177.050,378.04,6,枻,yi4,yieyH,yejH,0339f,21177.050,378.04
2508,Feuil1,詍,yi4,yieyH,yejH,0339g,63952.060,378.05,6,詍,yi4,yieyH,yejH,0339g,63952.060,378.05
2509,Feuil1,泄,xie4,siet,sjet,0339h,31580.020,377.55 496.31,13,泄,xie4,siet,sjet,0339h,31580.020,377.55 496.31
2510,Feuil1,紲,xie4,siet,sjet,0339i,53378.140,496.27,6,紲,xie4,siet,sjet,0339i,53378.140,496.27
2511,Feuil1,靾,xie4,siet,sjet,0339j,74330.010,378.08,6,靾,xie4,siet,sjet,0339j,74330.010,378.08
2512,Feuil1,勩,yi4,yieyH,yejH,0339k,10380.020,355.39 377.54,13,勩,yi4,yieyH,yejH,0339k,10380.020,355.39 377.54
2513,Feuil1,渫,xie4,siet,sjet,0339l,31669.010,496.32 543.20,13,渫,xie4,siet,sjet,0339l,31669.010,496.32 543.20
2514,Feuil1,緤,xie4,siet,sjet,0339m,53423.050,496.28,6,緤,xie4,siet,sjet,0339m,53423.050,496.28
2515,Feuil1,厲,li4,lieyH,ljejH,0340a,10077.170,378.46,6,厲,li4,lieyH,ljejH,0340a,10077.170,378.46
2516,Feuil1,礪,li4,lieyH,ljejH,0340b,42461.050,378.47,6,礪,li4,lieyH,ljejH,0340b,42461.050,378.47
2517,Feuil1,勵,li4,lieyH,ljejH,0340c,10381.170,378.48,6,勵,li4,lieyH,ljejH,0340c,10381.170,378.48
2518,Feuil1,癘,li4,lieyH,ljejH,0340d,42696.030,378.50,6,癘,li4,lieyH,ljejH,0340d,42696.030,378.50
2519,Feuil1,𧓽,li4,lieyH,ljejH,0340e,42902.060,,0,𧓽,li4,lieyH,ljejH,0340e,42902.060,
2520,Feuil1,蠣,li4,lieyH,ljejH,0340f,42900.010,378.55,6,蠣,li4,lieyH,ljejH,0340f,42900.010,378.55
2521,Feuil1,糲,li4,layH,lajH,0340g,53162.210,378.63 383.02 483.55,20,糲,li4,layH,lajH,0340g,53162.210,378.63 383.02 483.55
2522,Feuil1,糲,li4,lat,lat,0340g,53162.210,378.63 383.02 483.55,20,糲,li4,lat,lat,0340g,53162.210,378.63 383.02 483.55
2523,Feuil1,糲,li4,lieyH,ljejH,0340g,53162.210,378.63 383.02 483.55,20,糲,li4,lieyH,ljejH,0340g,53162.210,378.63 383.02 483.55
2524,Feuil1,敝,bi4,byieyH,bjiejH,0341a,21461.040,376.37,6,敝,bi4,byieyH,bjiejH,0341a,21461.040,376.37
2525,Feuil1,幣,bi4,byieyH,bjiejH,0341d,10753.010,376.35,6,幣,bi4,byieyH,bjiejH,0341d,10753.010,376.35
2526,Feuil1,弊,bi4,byieyH,bjiejH,0341e,10518.170,,0,弊,bi4,byieyH,bjiejH,0341e,10518.170,
2527,Feuil1,斃,bi4,byieyH,bjiejH,0341f,21478.050,376.34,6,斃,bi4,byieyH,bjiejH,0341f,21478.050,376.34
2528,Feuil1,獘,bi4,byieyH,bjiejH,0341g,21367.020,,0,獘,bi4,byieyH,bjiejH,0341g,21367.020,
2529,Feuil1,蔽,bi4,pyieyH,pjiejH,0341h,53277.190,376.51,6,蔽,bi4,pyieyH,pjiejH,0341h,53277.190,376.51
2530,Feuil1,鷩,bi4,pyieyH,pjiejH,0341i,74656.120,311.50 376.53 498.19,20,鷩,bi4,pyieyH,pjiejH,0341i,74656.120,311.50 376.53 498.19
2531,Feuil1,鷩,bi4,pyiet,pjiet,0341i,74656.120,311.50 376.53 498.19,20,鷩,bi4,pyiet,pjiet,0341i,74656.120,311.50 376.53 498.19
2532,Feuil1,虌,bie1,pyiet,pjiet,0341j,53340.060,498.21,6,虌,bie1,pyiet,pjiet,0341j,53340.060,498.21
2533,Feuil1,鱉,bie1,pyiet,pjiet,0341k,74710.050,,0,鱉,bie1,pyiet,pjiet,0341k,74710.050,
2534,Feuil1,憋,bie1,phyiet,phjiet,0341l,42342.030,498.24 499.45,13,憋,bie1,phyiet,phjiet,0341l,42342.030,498.24 499.45
2535,Feuil1,蹩,bie2,bet,bet,0341m,63734.080,495.61,6,蹩,bie2,bet,bet,0341m,63734.080,495.61
2536,Feuil1,躛,wei4,hweayH,xweajH,0342-,63749.080,386.20,6,躛,wei4,hweayH,xweajH,0342-,63749.080,386.20
2537,Feuil1,衛,wei4,ḫiweyH,hjwejH,0342a,20845.040,,0,衛,wei4,ḫiweyH,hjwejH,0342a,20845.040,
2538,Feuil1,讆,wei4,ḫiweyH,hjwejH,0342f,64030.040,375.27,6,讆,wei4,ḫiweyH,hjwejH,0342f,64030.040,375.27
2539,Feuil1,躗,wei4,hwaeyH,hwaejH,0342g,63749.081,,0,躗,wei4,hwaeyH,hwaejH,0342g,63749.081,
2540,Feuil1,贅,zhui4,cweyH,tsywejH,0343a,63653.140,375.36,6,贅,zhui4,cweyH,tsywejH,0343a,63653.140,375.36
2541,Feuil1,叡,rui4,yiweyH,ywejH,0344a,10402.020,376.09,6,叡,rui4,yiweyH,ywejH,0344a,10402.020,376.09
2542,Feuil1,毳,cui4,tshiweyH,tshjwejH,0345a,32000.040,375.39 376.41,13,毳,cui4,tshiweyH,tshjwejH,0345a,32000.040,375.39 376.41
2543,Feuil1,毳,cui4,tṣhiweyH,tsrhjwejH,0345a,32000.040,375.39 376.41,13,毳,cui4,tṣhiweyH,tsrhjwejH,0345a,32000.040,375.39 376.41
2544,Feuil1,竁,cui4,tshiweyH,tshjwejH,0345b,42742.110,376.01 376.40 410.01,20,竁,cui4,tshiweyH,tshjwejH,0345b,42742.110,376.01 376.40 410.01
2545,Feuil1,竁,cui4,chiweyH,tsyhwejH,0345b,42742.110,376.01 376.40 410.01,20,竁,cui4,chiweyH,tsyhwejH,0345b,42742.110,376.01 376.40 410.01
2546,Feuil1,竁,cui4,chiwenH,tsyhwenH,0345b,42742.110,376.01 376.40 410.01,20,竁,cui4,chiwenH,tsyhwenH,0345b,42742.110,376.01 376.40 410.01
2547,Feuil1,膬,cui4,tshiwet,tshjwet,0345c,32112.010,375.42 500.32,13,膬,cui4,tshiwet,tshjwet,0345c,32112.010,375.42 500.32
2548,Feuil1,歲,sui4,siweyH,sjwejH,0346a,21443.200,375.13,6,歲,sui4,siweyH,sjwejH,0346a,21443.200,375.13
2549,Feuil1,顪,hui4,hiwəyH,xjwojH,0346f,74394.020,391.42,6,顪,hui4,hiwəyH,xjwojH,0346f,74394.020,391.42
2550,Feuil1,翽,hui4,hwayH,xwajH,0346g,53358.100,382.15,6,翽,hui4,hwayH,xwajH,0346g,53358.100,382.15
2551,Feuil1,濊,wei4,qiwəyH,'jwojH,0346h,31754.150,382.18 382.28 391.29 486.37,27,濊,wei4,qiwəyH,'jwojH,0346h,31754.150,382.18 382.28 391.29 486.37
2552,Feuil1,濊,huo4,hwat,xwat,0346h,31754.150,382.18 382.28 391.29 486.37,27,濊,huo4,hwat,xwat,0346h,31754.150,382.18 382.28 391.29 486.37
2553,Feuil1,穢,hui4,qiwəyH,'jwojH,0346i,42634.090,391.27,6,穢,hui4,qiwəyH,'jwojH,0346i,42634.090,391.27
2554,Feuil1,噦,yue4,qiwet,'jwet,0346j,10689.120,382.14 478.37 498.44,20,噦,yue4,qiwet,'jwet,0346j,10689.120,382.14 478.37 498.44
2555,Feuil1,噦,yue4,qiwət,'jwot,0346j,10689.120,382.14 478.37 498.44,20,噦,yue4,qiwət,'jwot,0346j,10689.120,382.14 478.37 498.44
2556,Feuil1,噦,hui4,hwayH,xwajH,0346j,10689.120,382.14 478.37 498.44,20,噦,hui4,hwayH,xwajH,0346j,10689.120,382.14 478.37 498.44
2557,Feuil1,劌,gui4,kiweyH,kjwejH,0346k,10357.130,377.02,6,劌,gui4,kiweyH,kjwejH,0346k,10357.130,377.02
2558,Feuil1,乂,yi4,ṅiəyH,ngjojH,0347a,10031.030,391.45,6,乂,yi4,ṅiəyH,ngjojH,0347a,10031.030,391.45
2559,Feuil1,刈,yi4,ṅiəyH,ngjojH,0347b,10323.070,391.44,6,刈,yi4,ṅiəyH,ngjojH,0347b,10323.070,391.44
2560,Feuil1,艾,ai4,ṅayH,ngajH,0347c,53172.090,380.05 391.49,13,艾,ai4,ṅayH,ngajH,0347c,53172.090,380.05 391.49
2561,Feuil1,艾,yi4,ṅiəyH,ngjojH,0347c,53172.090,380.05 391.49,13,艾,yi4,ṅiəyH,ngjojH,0347c,53172.090,380.05 391.49
2562,Feuil1,吠,fei4,biəyH,bjojH,0348a,10587.020,391.33,6,吠,fei4,biəyH,bjojH,0348a,10587.020,391.33
2563,Feuil1,个,ge4,kaH,kaH,0349a,10103.010,419.08,6,个,ge4,kaH,kaH,0349a,10103.010,419.08
2564,Feuil1,个,gan4,kanH,kanH,0349a,10103.010,419.08,6,个,gan4,kanH,kanH,0349a,10103.010,419.08
2565,Feuil1,那,nuo2,na,na,0350a,63760.040,161.06 420.01,13,那,nuo2,na,na,0350a,63760.040,161.06 420.01
2566,Feuil1,果,guo3,khwaX,khwaX,0351a,21168.110,305.14,6,果,guo3,khwaX,khwaX,0351a,21168.110,305.14
2567,Feuil1,果,guo3,kwaX,kwaX,0351a,21168.110,305.14,6,果,guo3,kwaX,kwaX,0351a,21168.110,305.14
2568,Feuil1,蜾,guo3,kwaX,kwaX,0351c,42862.010,305.21,6,蜾,guo3,kwaX,kwaX,0351c,42862.010,305.21
2569,Feuil1,裹,guo3,kwaX,kwaX,0351d,53096.030,305.20 420.07,13,裹,guo3,kwaX,kwaX,0351d,53096.030,305.20 420.07
2570,Feuil1,堁,ke4,khwaH,khwaH,0351e,10453.020,307.22 389.09 420.20,20,堁,ke4,khwaH,khwaH,0351e,10453.020,307.22 389.09 420.20
2571,Feuil1,課,ke4,khwaH,khwaH,0351f,63985.140,164.07 420.19,13,課,ke4,khwaH,khwaH,0351f,63985.140,164.07 420.19
2572,Feuil1,倮,luo3,lwaX,lwaX,0351g,10177.030,,0,倮,luo3,lwaX,lwaX,0351g,10177.030,
2573,Feuil1,裸,luo3,lwaX,lwaX,0351h,53098.070,306.41,6,裸,luo3,lwaX,lwaX,0351h,53098.070,306.41
2574,Feuil1,臝,luo3,lwaX,lwaX,0351i,32127.020,306.44,6,臝,luo3,lwaX,lwaX,0351i,32127.020,306.44
2575,Feuil1,踝,hua4,ḫwaeX,hwaeX,0351j,63716.060,309.13,6,踝,hua4,ḫwaeX,hwaeX,0351j,63716.060,309.13
2576,Feuil1,髁,ke1,ḫwaeX,hwaeX,0351k,74413.100,164.11 309.52 420.22,20,髁,ke1,ḫwaeX,hwaeX,0351k,74413.100,164.11 309.52 420.22
2577,Feuil1,輠,hua4,ḫwaeX,hwaeX,0351l,53539.020,272.51 305.17 307.17 309.22,27,輠,hua4,ḫwaeX,hwaeX,0351l,53539.020,272.51 305.17 307.17 309.22
2578,Feuil1,輠,huan4?,ḫwanX,hwanX,0351l,53539.020,272.51 305.17 307.17 309.22,27,輠,huan4?,ḫwanX,hwanX,0351l,53539.020,272.51 305.17 307.17 309.22
2579,Feuil1,輠,hui4,ḫwəyX,hwojX,0351l,53539.020,272.51 305.17 307.17 309.22,27,輠,hui4,ḫwəyX,hwojX,0351l,53539.020,272.51 305.17 307.17 309.22
2580,Feuil1,祼,guan4,kwanH,kwanH,0351m,42402.030,402.53,6,祼,guan4,kwanH,kwanH,0351m,42402.030,402.53
2581,Feuil1,婐,wo3,qwaX,'waX,0351n,21057.140,166.07 306.50,13,婐,wo3,qwaX,'waX,0351n,21057.140,166.07 306.50
2582,Feuil1,𩰬,guo1,kwa,kwa,0352a,74587.020,162.08,6,𩰬,guo1,kwa,kwa,0352a,74587.020,162.08
2583,Feuil1,火,huo3,hwaX,xwaX,0353a,32187.010,307.19,6,火,huo3,hwaX,xwaX,0353a,32187.010,307.19
2584,Feuil1,妥,tuo3,thwaX,thwaX,0354a,21032.020,306.25,6,妥,tuo3,thwaX,thwaX,0354a,21032.020,306.25
2585,Feuil1,餒,nei3,nwəyX,nwojX,0354d,74457.030,273.08,6,餒,nei3,nwəyX,nwojX,0354d,74457.030,273.08
2586,Feuil1,緌,rui2,ñiwiy,nywij,0354e,53415.020,055.33,6,緌,rui2,ñiwiy,nywij,0354e,53415.020,055.33
2587,Feuil1,諉,wei3,ṇiweH,nrjweH,0354f,63987.020,349.34,6,諉,wei3,ṇiweH,nrjweH,0354f,63987.020,349.34
2588,Feuil1,綏,sui1,siwe,sjwe,0354g,53406.010,056.14,6,綏,sui1,siwe,sjwe,0354g,53406.010,056.14
2589,Feuil1,綏,sui1,swiy,swij,0354g,53406.010,056.14,6,綏,sui1,swiy,swij,0354g,53406.010,056.14
2590,Feuil1,綏,tuo3,thwaX,thwaX,0354g,53406.010,056.14,6,綏,tuo3,thwaX,thwaX,0354g,53406.010,056.14
2591,Feuil1,衰,shuai1,ṣwiy,srwij,0355a,53076.090,050.26 055.38,13,衰,shuai1,ṣwiy,srwij,0355a,53076.090,050.26 055.38
2592,Feuil1,衰,suo1,swa,swa,0355a,53076.090,050.26 055.38,13,衰,suo1,swa,swa,0355a,53076.090,050.26 055.38
2593,Feuil1,衰,cui1,tshwəy,tshwoj,0355a,53076.090,050.26 055.38,13,衰,cui1,tshwəy,tshwoj,0355a,53076.090,050.26 055.38
2594,Feuil1,衰,cui1,tṣhiwe,tsrhjwe,0355a,53076.090,050.26 055.38,13,衰,cui1,tṣhiwe,tsrhjwe,0355a,53076.090,050.26 055.38
2595,Feuil1,蓑,suo1,swa,swa,0355b,53267.140,098.04 162.22,13,蓑,suo1,swa,swa,0355b,53267.140,098.04 162.22
2596,Feuil1,簑,suo1,swa,swa,0355c,53004.010,,0,簑,suo1,swa,swa,0355c,53004.010,
2597,Feuil1,榱,cui1,ṣwiy,srwij,0355d,21267.070,055.39,6,榱,cui1,ṣwiy,srwij,0355d,21267.070,055.39
2598,Feuil1,縗,cui1,tshwəy,tshwoj,0355e,53438.050,097.40,6,縗,cui1,tshwəy,tshwoj,0355e,53438.050,097.40
2599,Feuil1,毀,hui3,hiweX,xjweX,0356a,32162.041,241.27 349.15,13,毀,hui3,hiweX,xjweX,0356a,32162.041,241.27 349.15
2600,Feuil1,燬,hui3,hiweX,xjweX,0356b,32241.040,241.28,6,燬,hui3,hiweX,xjweX,0356b,32241.040,241.28
2601,Feuil1,委,wei1,qiwe,'jwe,0357a,21038.040,042.22 241.37,13,委,wei1,qiwe,'jwe,0357a,21038.040,042.22 241.37
2602,Feuil1,委,wei4,qiweH,'jweH,0357a,21038.040,042.22 241.37,13,委,wei4,qiweH,'jweH,0357a,21038.040,042.22 241.37
2603,Feuil1,委,wei3,qiweX,'jweX,0357a,21038.040,042.22 241.37,13,委,wei3,qiweX,'jweX,0357a,21038.040,042.22 241.37
2604,Feuil1,倭,wei1,qiwe,'jwe,0357b,10179.080,042.21 164.13 306.51,20,倭,wei1,qiwe,'jwe,0357b,10179.080,042.21 164.13 306.51
2605,Feuil1,痿,wei3,qiwe,'jwe,0357c,42681.040,042.20 050.05,13,痿,wei3,qiwe,'jwe,0357c,42681.040,042.20 050.05
2606,Feuil1,萎,wei1,qiwe,'jwe,0357d,53235.050,042.16 349.11,13,萎,wei1,qiwe,'jwe,0357d,53235.050,042.16 349.11
2607,Feuil1,逶,wei1,qiwe,'jwe,0357e,63851.020,042.14,6,逶,wei1,qiwe,'jwe,0357e,63851.020,042.14
2608,Feuil1,餧,wei4,qiweH,'jweH,0357f,74460.030,273.07 349.10,13,餧,wei4,qiweH,'jweH,0357f,74460.030,273.07 349.10
2609,Feuil1,踒,wo1,qwa,'wa,0357g,63717.030,164.18,6,踒,wo1,qwa,'wa,0357g,63717.030,164.18
2610,Feuil1,踒,wo1,qwaH,'waH,0357g,63717.030,164.18,6,踒,wo1,qwaH,'waH,0357g,63717.030,164.18
2611,Feuil1,此,ci3,tshieX,tshjeX,0358a,21438.030,243.43,6,此,ci3,tshieX,tshjeX,0358a,21438.030,243.43
2612,Feuil1,佌,ci3,tshieX,tshjeX,0358c,10147.060,243.45,6,佌,ci3,tshieX,tshjeX,0358c,10147.060,243.45
2613,Feuil1,庛,ci4,tshieH,tshjeH,0358d,20882.040,347.33,6,庛,ci4,tshieH,tshjeH,0358d,20882.040,347.33
2614,Feuil1,跐,ci3,tshieX,tshjeX,0358e,63701.080,243.44 246.05 246.22,20,跐,ci3,tshieX,tshjeX,0358e,63701.080,243.44 246.05 246.22
