source_row_number,source_sheet_name,Unnamed: 2,pinyin,MC (NWH),MC (B&S),GSR,漢語大字典,廣韻,Unnamed: 9,normalized_character,normalized_pinyin,normalized_mc_nwh,normalized_mc_bs,normalized_gsr,normalized_hanyu_dazidian,normalized_guangyun
39,Feuil1,錡,qi2,gie,gje,0001v,64217.020,044.03 242.41 243.19,20,錡,qi2,gie,gje,0001v,64217.020,044.03 242.41 243.19
40,Feuil1,錡,qi2,gieX,gjeX,0001v,64217.020,044.03 242.41 243.19,20,錡,qi2,gieX,gjeX,0001v,64217.020,044.03 242.41 243.19
41,Feuil1,錡,yi3,ṅieX,ngjeX,0001v,64217.020,044.03 242.41 243.19,20,錡,yi3,ṅieX,ngjeX,0001v,64217.020,044.03 242.41 243.19
42,Feuil1,寄,ji4,kieH,kjeH,0001x,20937.010,347.14,6,寄,ji4,kieH,kjeH,0001x,20937.010,347.14
43,Feuil1,掎,ji3,kieX,kjeX,0001y,31893.040,046.56 243.02 349.42,20,掎,ji3,kieX,kjeX,0001y,31893.040,046.56 243.02 349.42
44,Feuil1,畸,ji1,kie,kje,0001z,42545.130,046.54,6,畸,ji1,kie,kje,0001z,42545.130,046.54
45,Feuil1,我,wo3,ṅaX,ngaX,0002a,21401.020,304.26,6,我,wo3,ṅaX,ngaX,0002a,21401.020,304.26
46,Feuil1,俄,e2,ṅa,nga,0002h,10162.140,160.36,6,俄,e2,ṅa,nga,0002h,10162.140,160.36
47,Feuil1,娥,e2,ṅa,nga,0002i,21052.100,160.32,6,娥,e2,ṅa,nga,0002i,21052.100,160.32
48,Feuil1,峨,e2,ṅa,nga,0002k,10774.150,,0,峨,e2,ṅa,nga,0002k,10774.150,
49,Feuil1,睋,e2,ṅa,nga,0002l,42491.090,160.39,6,睋,e2,ṅa,nga,0002l,42491.090,160.39
50,Feuil1,莪,e2,ṅa,nga,0002m,53219.150,160.30,6,莪,e2,ṅa,nga,0002m,53219.150,160.30
51,Feuil1,誐,e2,ṅa,nga,0002n,63977.020,160.41,6,誐,e2,ṅa,nga,0002n,63977.020,160.41
52,Feuil1,餓,e4,ṅaH,ngaH,0002o,74456.020,419.31,6,餓,e4,ṅaH,ngaH,0002o,74456.020,419.31
53,Feuil1,鵝,e2,ṅa,nga,0002p,74635.100,160.35,6,鵝,e2,ṅa,nga,0002p,74635.100,160.35
54,Feuil1,鵞,e2,ṅa,nga,0002p,74636.030,,0,鵞,e2,ṅa,nga,0002p,74636.030,
55,Feuil1,蛾,e2,ṅa,nga,0002q,42856.060,160.38 243.18,13,蛾,e2,ṅa,nga,0002q,42856.060,160.38 243.18
56,Feuil1,蛾,yi3,ṅieX,ngjeX,0002q,42856.060,160.38 243.18,13,蛾,yi3,ṅieX,ngjeX,0002q,42856.060,160.38 243.18
57,Feuil1,義,yi4,ṅieH,ngjeH,0002r,53133.020,348.01,6,義,yi4,ṅieH,ngjeH,0002r,53133.020,348.01
58,Feuil1,儀,yi2,ṅie,ngje,0002u,10228.020,045.08,6,儀,yi2,ṅie,ngje,0002u,10228.020,045.08
59,Feuil1,議,yi4,ṅieH,ngjeH,0002v,64026.010,347.42,6,議,yi4,ṅieH,ngjeH,0002v,64026.010,347.42
60,Feuil1,蟻,yi3,ṅieX,ngjeX,0002x,42898.110,243.17,6,蟻,yi3,ṅieX,ngjeX,0002x,42898.110,243.17
61,Feuil1,羲,xi1,hie,xje,0002y,53137.130,044.30,6,羲,xi1,hie,xje,0002y,53137.130,044.30
62,Feuil1,犧,xi1,hie,xje,0002z,31822.040,044.29,6,犧,xi1,hie,xje,0002z,31822.040,044.29
63,Feuil1,多,duo1,ta,ta,0003a,20862.020,159.19,6,多,duo1,ta,ta,0003a,20862.020,159.19
64,Feuil1,痑,duo3,taH,taH,0003d,42672.110,122.05 160.48 419.22,20,痑,duo3,taH,taH,0003d,42672.110,122.05 160.48 419.22
65,Feuil1,痑,duo3,tha,tha,0003d,42672.110,122.05 160.48 419.22,20,痑,duo3,tha,tha,0003d,42672.110,122.05 160.48 419.22
66,Feuil1,奓,zha1,ṭae,trae,0003e,10539.100,169.29 422.19,13,奓,zha1,ṭae,trae,0003e,10539.100,169.29 422.19
67,Feuil1,㗬,cha1,ṭhae,trhae,0003f,10566.030,169.28,6,㗬,cha1,ṭhae,trhae,0003f,10566.030,169.28
