gsc_id,rhyme_section,series_number,schuessler_k_tokens,schuessler_source_page,schuessler_cross_reference_only,in_tex,tex_character_count,tex_characters_sample,mand2mc_row_count,mand2mc_character_count,mand2mc_characters_sample,bs_gsr_row_count,bs_gsr_character_count,bs_gsr_characters_sample,combined_source_character_count,combined_source_characters_sample
03-39,3,39,732,108,no,no,0,,17,14,羊; 佯; 徉; 恙; 洋; 痒; 養; 羕; 庠; 祥,12,10,羊; 洋; 痒; 養; 羕; 庠; 祥; 翔; 詳; 癢,14,羊; 佯; 徉; 恙; 洋; 痒; 養; 羕; 庠; 祥
03-40,3,40,734,109,no,no,0,,2,2,商; 𧶜,3,1,商,2,商; 𧶜
03-41,3,41,728,109,no,no,0,,3,3,象; 像; 橡,1,1,象,3,象; 像; 橡
03-42,3,42,730,109,no,no,0,,17,12,襄; 纕; 饟; 壤; 攘; 瀼; 禳; 穰; 讓; 釀,13,8,襄; 纕; 饟; 壤; 攘; 讓; 曩; 囊,12,襄; 纕; 饟; 壤; 攘; 瀼; 禳; 穰; 讓; 釀
03-43,3,43,735,109,no,no,0,,18,15,良; 粮; 俍; 埌; 朗; 桹; 浪; 狼; 琅; 稂,10,9,良; 俍; 朗; 浪; 狼; 琅; 稂; 郎; 廊,15,良; 粮; 俍; 埌; 朗; 桹; 浪; 狼; 琅; 稂
03-44,3,44,736,110,no,no,0,,4,3,兩; 輛; 蜽,1,1,兩,3,兩; 輛; 蜽
03-45,3,45,737,110,no,no,0,,3,2,量; 糧,3,2,量; 糧,2,量; 糧
03-46,3,46,738,110,no,no,0,,2,2,梁; 粱,1,1,梁,2,梁; 粱
03-47,3,47,702,110,no,no,0,,1,1,葬,1,1,葬,1,葬
03-48,3,48,703,110,no,no,0,,18,13,倉; 凔; 滄; 蒼; 鶬; 搶; 瑲; 槍; 蹌; 牄,7,5,倉; 凔; 蒼; 創; 瘡,13,倉; 凔; 滄; 蒼; 鶬; 搶; 瑲; 槍; 蹌; 牄
03-49,3,49,727,111,no,no,0,,28,24,爿; 䵼; 斨; 將; 臧; 戕; 藏; 贓; 裝; 牆,14,12,將; 臧; 藏; 贓; 壯; 妝; 莊; 牀; 狀; 奬,24,爿; 䵼; 斨; 將; 臧; 戕; 藏; 贓; 裝; 牆
03-50,3,50,727m,111,no,no,0,,1,1,廧,0,0,,1,廧
03-52,3,52,729,111,no,no,0,,1,1,匠,1,1,匠,1,匠
03-54,3,54,705,112,no,no,0,,2,1,喪,2,1,喪,1,喪
03-55,3,55,731,112,no,no,0,,7,6,相; 想; 湘; 箱; 霜; 孀,4,3,相; 想; 霜,6,相; 想; 湘; 箱; 霜; 孀
03-56,3,56,733,112,no,no,0,,1,1,𡙁,0,0,,1,𡙁
03-57,3,57,740,112,no,no,0,,41,32,方; 埅; 魴; 雱; 汸; 彷; 旁; 舫; 放; 昉,29,24,方; 魴; 雱; 彷; 旁; 舫; 放; 昉; 祊; 枋,32,方; 埅; 魴; 雱; 汸; 彷; 旁; 舫; 放; 昉
03-58,3,58,741,113,no,no,0,,1,1,匚,1,1,匚,1,匚
03-59,3,59,750,113,no,no,0,,4,2,彭; 𥛱,1,1,彭,2,彭; 𥛱
03-60,3,60,751,113,no,no,0,,1,1,烹,1,1,烹,1,烹
03-61,3,61,757,113,no,no,0,,7,6,丙; 怲; 柄; 炳; 邴; 病,4,4,丙; 柄; 邴; 病,6,丙; 怲; 柄; 炳; 邴; 病
03-62,3,62,758,114,no,no,0,,2,2,秉; 棅,2,2,秉; 棅,2,秉; 棅
03-63,3,63,759,114,no,no,0,,1,1,兵,1,1,兵,1,兵
03-64,3,64,709,114,no,no,0,,1,1,莽,0,0,,1,莽
03-65,3,65,742,114,no,no,0,,31,25,亡; 網; 惘; 鋩; 茫; 荒; 詤; 妄; 慌; 㡃,22,18,亡; 網; 惘; 鋩; 荒; 詤; 妄; 慌; 忘; 芒,25,亡; 網; 惘; 鋩; 茫; 荒; 詤; 妄; 慌; 㡃
03-66,3,66,743,115,no,no,0,,3,3,𦣠; 朢; 𧭅,0,0,,3,𦣠; 朢; 𧭅
03-67,3,67,744,115,no,no,0,,2,2,网; 蛧,1,1,网,2,网; 蛧
03-68,3,68,760,115,no,no,0,,3,3,明; 盟; 萌,2,2,明; 盟,3,明; 盟; 萌
03-69,3,69,761,115,no,no,0,,3,3,皿; 孟; 猛,2,1,孟,3,皿; 孟; 猛
04-01,4,1,936,117,no,no,0,,1,1,改,1,1,改,1,改
04-02,4,2,937,117,no,no,0,,25,21,亥; 核; 咳; 孩; 㤥; 侅; 垓; 姟; 晐; 絯,9,8,亥; 咳; 孩; 該; 欬; 刻; 劾; 骸,21,亥; 核; 咳; 孩; 㤥; 侅; 垓; 姟; 晐; 絯
04-03,4,3,990,117,no,no,0,,6,5,戒; 誡; 械; 駴; 裓,3,3,戒; 誡; 械,5,戒; 誡; 械; 駴; 裓
04-04,4,4,952,117,no,no,0,,28,23,其; 騏; 麒; 惎; 諅; 璂; 箕; 僛; 基; 朞,13,10,其; 丌; 騏; 箕; 基; 期; 欺; 棋; 旗; 綦,24,其; 騏; 麒; 惎; 諅; 璂; 箕; 僛; 基; 朞
04-05,4,5,953,118,no,no,0,,13,12,己; 妀; 紀; 記; 屺; 杞; 芑; 起; 忌; 誋,6,5,己; 紀; 記; 起; 忌,12,己; 妀; 紀; 記; 屺; 杞; 芑; 起; 忌; 誋
04-06,4,6,985,118,no,no,0,,2,1,龜,2,1,龜,1,龜
04-07,4,7,986,118,no,no,0,,1,1,簋,1,1,簋,1,簋
04-08,4,8,987,119,no,no,0,,3,3,𣪘; 匓; 廄,1,1,廄,3,𣪘; 匓; 廄
04-09,4,9,988,119,no,no,0,,3,2,頯; 頮,1,1,頯,2,頯; 頮
