gsc_id,rhyme_section,series_number,schuessler_k_tokens,schuessler_source_page,schuessler_cross_reference_only,in_tex,tex_character_count,tex_characters_sample,mand2mc_row_count,mand2mc_character_count,mand2mc_characters_sample,bs_gsr_row_count,bs_gsr_character_count,bs_gsr_characters_sample,combined_source_character_count,combined_source_characters_sample
01-59,1,59,66,84,no,yes,1,麤,1,1,麤,0,0,,1,麤
01-61,1,61,68,84,no,yes,1,素,1,1,素,1,1,素,1,素
01-62,1,62,90; 88,84,no,yes,10,疋; 疎; 楚; 疏; 蔬; 胥; 湑; 稰; 糈; 壻,10,10,疋; 疏; 疎; 蔬; 胥; 湑; 稰; 糈; 壻; 楚,9,7,梳; 疋; 疏; 疎; 蔬; 湑; 楚,11,疋; 疏; 疎; 蔬; 胥; 湑; 稰; 糈; 壻; 楚
01-63,1,63,91,84,no,yes,1,所,2,1,所,1,1,所,1,所
01-64,1,64,72,85,no,yes,1,普,1,1,普,0,0,,1,普
01-65,1,65,73,85,no,yes,1,步,1,1,步,1,1,步,1,步
01-66,1,66,101,85,no,yes,5,夫; 鈇; 扶; 枎; 芙,9,5,夫; 鈇; 扶; 枎; 芙,5,3,夫; 鈇; 扶,5,夫; 鈇; 扶; 枎; 芙
01-67,1,67,102; 771,85,no,yes,31,父; 釜; 斧; 布; 怖; 甫; 脯; 莆; 黼; 簠,53,42,父; 補; 逋; 餔; 釜; 浦; 痡; 斧; 鋪; 哺,26,21,父; 補; 浦; 痡; 斧; 鋪; 哺; 布; 匍; 甫,42,父; 補; 逋; 餔; 釜; 浦; 痡; 斧; 鋪; 哺
01-68,1,68,39,86,no,yes,6,巴; 把; 芭; 豝; 杷; 耙,8,6,巴; 把; 芭; 豝; 杷; 耙,5,4,巴; 把; 豝; 耙,6,巴; 把; 芭; 豝; 杷; 耙
01-69,1,69,103,87,no,yes,13,無; 廡; 憮; 甒; 蕪; 譕; 幠; 膴; 撫; 鄦,15,12,無; 舞; 儛; 廡; 憮; 甒; 蕪; 譕; 幠; 膴,6,6,無; 舞; 儛; 譕; 幠; 撫,12,無; 舞; 儛; 廡; 憮; 甒; 蕪; 譕; 幠; 膴
01-70,1,70,106,87,no,yes,1,无,1,1,无,1,1,无,1,无
01-71,1,71,104,87,no,yes,3,武; 鵡; 賦,3,3,武; 鵡; 賦,3,2,武; 賦,3,武; 鵡; 賦
01-72,1,72,105,87,no,yes,2,巫; 誣,2,2,巫; 誣,2,2,巫; 誣,2,巫; 誣
01-73,1,73,40,88,no,yes,3,馬; 禡; 罵,4,3,馬; 禡; 罵,2,2,馬; 罵,3,馬; 禡; 罵
02-01,2,1,766,90,no,no,0,,47,37,各; 觡; 骼; 胳; 客; 袼; 閣; 恪; 垎; 貉,12,12,各; 胳; 客; 袼; 閣; 貉; 賂; 路; 落; 露,37,各; 觡; 骼; 胳; 客; 袼; 閣; 恪; 垎; 貉
02-02,2,2,776,91,no,no,0,,8,8,𧮫; 卻; 却; 綌; 郤; 郄; 腳; 脚,4,4,却; 郤; 腳; 脚,8,𧮫; 卻; 却; 綌; 郤; 郄; 腳; 脚
02-03,2,3,785,91,no,no,0,,2,2,𢧢; 戟,1,1,戟,2,𢧢; 戟
02-04,2,4,786,91,no,no,0,,1,1,丮,0,0,,1,丮
02-05,2,5,787,91,no,no,0,,4,4,𡭴; 𡭽; 隙; 虩,1,1,隙,4,𡭴; 𡭽; 隙; 虩
02-06,2,6,774,91,no,no,0,,6,6,郭; 椁; 槨; 廓; 鞟; 鞹,3,3,郭; 槨; 廓,6,郭; 椁; 槨; 廓; 鞟; 鞹
02-07,2,7,96; 778,92,no,yes,7,䀠; 瞿; 衢; 躣; 鸜; 臞; 懼,15,12,䀠; 瞿; 衢; 躣; 鸜; 臞; 懼; 矍; 攫; 玃,2,2,䀠; 懼,12,䀠; 瞿; 衢; 躣; 鸜; 臞; 懼; 矍; 攫; 玃
02-08,2,8,784,92,no,no,0,,11,10,蒦; 獲; 韄; 彠; 穫; 鑊; 濩; 護; 雘; 蠖,5,5,蒦; 獲; 穫; 護; 擭,11,蒦; 獲; 韄; 彠; 穫; 鑊; 濩; 護; 雘; 蠖
02-09,2,9,767,92,no,no,0,,1,1,壑,1,1,壑,1,壑
02-10,2,10,779,92,no,no,0,,3,2,赫; 嚇,3,2,赫; 嚇,2,赫; 嚇
02-11,2,11,789,93,no,no,0,,1,1,覤,0,0,,1,覤
02-12,2,12,775,93,no,no,0,,4,4,霍; 靃; 藿; 臛,0,0,,4,霍; 靃; 藿; 臛
02-13,2,13,805,93,no,no,0,,7,4,亞; 啞; 堊; 惡,5,4,亞; 啞; 堊; 惡,4,亞; 啞; 堊; 惡
02-14,2,14,788,93,no,no,0,,11,11,屰; 逆; 㖾; 咢; 愕; 遌; 遻; 諤; 鄂; 鍔,7,7,屰; 逆; 咢; 愕; 遌; 遻; 諤,11,屰; 逆; 㖾; 咢; 愕; 遌; 遻; 諤; 鄂; 鍔
02-15,2,15,768,93,no,no,0,,3,2,噩; 蘁,0,0,,2,噩; 蘁
02-16,2,16,801,93,no,no,0,,4,3,度; 渡; 剫,2,1,度,3,度; 渡; 剫
