character,in_tex,tex_entry_count,tex_entry_ids,tex_gsr_markers,tex_mc_forms,in_mand2mc,mand2mc_row_count,mand2mc_gsr_values,mand2mc_pinyin_values,mand2mc_mc_nwh_values,in_shengfu,shengfu_row_count,shengfu_phonetic_components,shengfu_component_levels,in_bs_gsr,bs_row_count,bs_gsr_values,bs_pinyin_values,bs_mc_values,bs_oc_values
徘,no,0,,,,yes,1,0579t,pei2,bwəy,yes,1,非,1,no,0,,,,
徙,no,0,,,,yes,1,0871a,xi3,sieX,yes,1,沙,2,yes,1,0871a,xǐ,sjeX,*sajʔ {*[s]ajʔ}
徛,no,0,,,,yes,1,,,,yes,2,可,2,no,0,,,,
徜,no,0,,,,no,0,,,,yes,1,尚,1,no,0,,,,
從,no,0,,,,yes,5,1191d,cong2; zong4; cong1; zong1; zong3,dziəwṅ; dziəwṅH; tshiəwṅ; tsiəwṅ; tsuwṅX,yes,3,从,1,yes,1,1191d,cóng,dzjowng,*dzoŋ {*[dz]oŋ}
徠,no,0,,,,yes,1,0944f,lai2,ləy,yes,2,來,1,no,0,,,,
御,yes,1,01-30,0060a; 0060f; 0060g; 0060h; 0086a; 0060i; 0060k; 0060l; 0060p,ṅuX; ṅuH; chiəX; hiəX; huX; ṅiəH; ṅiəX,yes,1,0060l,yu4,ṅiəH,yes,1,午,1,yes,2,0060l,yù,ngjoH; ngjoX,*ŋa-s {*[ŋ](r)a(ʔ)-s} (< uvular?)
徥,no,0,,,,no,0,,,,yes,2,是,1,no,0,,,,
徦,no,0,,,,no,0,,,,yes,2,叚,1,no,0,,,,
徧,no,0,,,,yes,1,0246b,bian4,penH,yes,1,扁,1,yes,1,0246b,biàn,penH,*pˤen-s {*pˤe[n]-s}
徨,no,0,,,,yes,1,0708d,huang2,hwaṅ,yes,1,皇,1,yes,1,0708d,huáng,hwang,*ɢʷˤaŋ {*[ɢ]ʷˤaŋ}
復,no,0,,,,yes,2,1034d,fu4,biuwH; biuwk,yes,2,复,1,yes,2,1034d,fù,bjuwH; bjuwk,*N-pruk-s {*[N]-pruk-s}; *m-puk {*m-p(r)uk}
循,no,0,,,,yes,1,0465f,xun2,zwin,yes,1,盾,1,yes,1,0465f,xún,zwin,*sə.lun {*sə.lu[n]}
徬,no,0,,,,yes,1,0740o',pang2,baṅ,yes,1,方,2,yes,1,0740o',páng,bang,*bˤaŋ {*[b]ˤaŋ}
徭,no,0,,,,yes,1,1144e,yao2,yiew,yes,1,䍃,1,yes,1,1144e,yáo,yew,*law
微,no,0,,,,yes,1,0584d,wei1,miɨy,yes,1,微,1,yes,1,0584d,wēi,mj+j,*məj
徯,no,0,,,,yes,1,0876i,xi1,heyX,yes,2,奚,1,no,0,,,,
徲,no,0,,,,no,0,,,,yes,1,尸,1,no,0,,,,
徵,no,0,,,,yes,3,0891a,cheng2; zheng1; zhi3,ḍiṅ; ṭiṅ; ṭiX,yes,2,徵,1,yes,1,0891a,zhēng,tring,*trəŋ
德,no,0,,,,yes,1,0919k,de2,tək,yes,1,直,1,yes,1,0919k,dé,tok,*tˤək
徹,no,0,,,,yes,2,0286c,che4,ḍiet; ṭhiet,yes,2,徹,1,yes,2,0286c,chè,drjet; trhjet,*m-tʰret {*m-[tʰ]ret}; *tʰret {*[tʰ]ret}
徼,no,0,,,,yes,2,1162d,jiao1; jiao4,kew; kewH,yes,2,敫,1,yes,1,1162d,jiāo,kew,*kˤew {*[k]ˤew}
徽,no,0,,,,yes,1,0584h,hui1,hiwɨy,yes,1,微,1,yes,1,0584h,huī,xjw+j,*m̥əj
忂,no,0,,,,no,0,,,,yes,1,䀠,1,no,0,,,,
心,no,0,,,,yes,1,0663a,xin1,sim,yes,1,心,1,yes,1,0663a,xīn,sim,*səm
必,no,0,,,,yes,1,0405a,bi4,pyit,yes,1,必,1,yes,1,0405a,bì,pjit,*pit {*pi[t]}
忉,no,0,,,,yes,1,1131c,dao1,taw,yes,1,刀,1,no,0,,,,
忌,no,0,,,,yes,2,0953s,ji4,giH; kiH,yes,1,己,1,yes,1,0953s,jì,giH,*m-kə-s {*m-k(r)ə-s}
忍,no,0,,,,yes,1,0456c,ren3,ñinX,yes,1,刃,1,yes,2,0456c,rěn,nyinX,*nənʔ {*nə[n]ʔ}
忏,no,0,,,,no,0,,,,yes,2,人,2,no,0,,,,
忒,no,0,,,,yes,1,0918g,te4,thək,yes,1,弋,1,yes,1,0918g,tè,thok,*l̥ˤək
忓,no,0,,,,yes,1,0139e,gan1,kan,yes,2,干,1,no,0,,,,
忔,no,0,,,,no,0,,,,yes,1,气,2,no,0,,,,
忕,no,0,,,,yes,1,0317i,shi4,jieyH,yes,3,大,1,no,0,,,,
忖,no,0,,,,yes,1,0431d,cun3,tshwonX,yes,1,尊,2,yes,1,0431d,cǔn,tshwonX,*tsʰˤunʔ {*[tsʰ]ˤu[n]ʔ}
志,no,0,,,,yes,1,0962e,zhi4,ciH,yes,1,止,1,yes,1,0962e,zhì,tsyiH,*tə-s
忘,no,0,,,,yes,2,0742i,wang2; wang4,miaṅ; miaṅH,yes,2,亡,1,yes,2,0742i,wáng; wàng,mjang; mjangH,*maŋ; *maŋ-s
忙,no,0,,,,yes,1,0742o,mang2,maṅ,yes,1,亡,1,yes,1,0742o,máng,mang,*mˤaŋ
忚,no,0,,,,no,0,,,,yes,1,它,1,no,0,,,,
忝,no,0,,,,yes,2,1247c,tian3,themH; themX,yes,2,天,1,yes,2,1247c,tiǎn,themH; themX,*l̥ˤimʔ-s {*l̥ˤ[i]mʔ-s}; *l̥ˤimʔ {*l̥ˤ[i]mʔ}
忞,no,0,,,,yes,1,0475m,min2,min,yes,1,文,1,no,0,,,,
忠,no,0,,,,yes,1,1007k,zhong1,ṭiuwṅ,yes,1,中,1,yes,1,1007k,zhōng,trjuwng,*truŋ
忡,no,0,,,,yes,1,1007n,chong1,ṭhiuwṅ,yes,1,中,1,yes,1,1007n,chōng,trhjuwng,*tʰruŋ
忤,yes,1,01-30,0060a; 0060f; 0060g; 0060h; 0086a; 0060i; 0060k; 0060l; 0060p,ṅuX; ṅuH; chiəX; hiəX; huX; ṅiəH; ṅiəX,yes,1,0060g,wu4,ṅuH,yes,1,午,1,no,0,,,,
忥,no,0,,,,no,0,,,,yes,1,气,1,no,0,,,,
忦,no,0,,,,no,0,,,,yes,1,介,1,no,0,,,,
忧,no,0,,,,no,0,,,,yes,1,尤,1,no,0,,,,
忨,no,0,,,,yes,2,0257j,wan4,ṅwan; ṅwanH,yes,2,元,1,no,0,,,,
忪,no,0,,,,no,0,,,,yes,1,公,1,no,0,,,,
快,no,0,,,,yes,1,0312k,kuai4,khwaeyH,yes,1,夬,1,yes,1,0312k,kuài,khwaejH,*kʷʰˤret-s {*[k]ʷʰˤret-s}
忮,no,0,,,,yes,1,0864d,zhi4,cieH,yes,1,支,1,no,0,,,,
忯,no,0,,,,no,0,,,,yes,2,氏,1,no,0,,,,
忱,no,0,,,,yes,1,0656h,chen2,jim,yes,1,冘,1,yes,1,0656h,chén,dzyim,*t.ɢəm {*[t.ɢ][ə]m}
忳,no,0,,,,yes,1,0427d,tun2,dwon,yes,1,屯,1,no,0,,,,
念,no,0,,,,yes,1,0670a,nian4,nemH,yes,1,念,1,yes,1,0670a,niàn,nemH,*nˤim-s
忸,no,0,,,,yes,1,1076k,niu3,ṇiuwk,yes,1,丑,1,no,0,,,,
忻,no,0,,,,yes,1,0443j,xin1,hiɨn,no,0,,,no,0,,,,
忼,no,0,,,,yes,2,0698d,kang1,khaṅH; khaṅX,yes,1,亢,1,no,0,,,,
忽,no,0,,,,yes,1,0503l,hu1,hwət,yes,1,勿,1,yes,1,0503l,hū,xwot,*m̥ˤut
忿,no,0,,,,yes,2,0471g,fen4,phiunH; phiunX,yes,2,分,1,no,0,,,,
怊,no,0,,,,yes,2,1131i,chao1,ṭhiew; chiew,yes,2,刀,2,no,0,,,,
怋,no,0,,,,no,0,,,,yes,2,昏; 民,1,no,0,,,,
怍,no,0,,,,yes,1,0806r,zuo4,dzak,yes,1,乍,1,no,0,,,,
怏,no,0,,,,yes,2,0718d,yang4,qiaṅH; qiaṅX,yes,2,央,1,no,0,,,,
怐,yes,1,10-01,0108a; 0108c; 0108d; 0108e; 0108f; 0108h; 0108i; 0108j; 0108k; 0108l; 0108m; 0108n; 0108o; 0108p; 0108q; 0108r; 0108t; 0108u; 0108v; 0108x; 0108y; 0108z; 0108b,kiuH; kuw; kuwX; kuwH; khuw; khuwH; khuwX; ḫuwH; huwH; huwX; kiuX; giu; kiu; khiuX; hiu; hiuH; hiuX,yes,1,0108j,kou4,khuw,yes,3,口,2,no,0,,,,
怒,yes,1,01-56,0094a; 0094f; 0094j; 0094g; 0094o; 0094p; 0094q; 0094r; 0094s; 0094t; 0094u; 0094l; 0094v; 0094y; 0094z; 0094c; 0094b; 0094d; 0094e,ṇiəH; ṇiəX; ñiəX; ñiə; ṇiə; ñiəH; śiəH; siəH; ṭhiəH; nu; nuX; nuH; ṇae,yes,2,0094a',nu4,nuH; nuX,yes,2,女,1,yes,1,0094a',nù,nuX,*nˤaʔ
怓,no,0,,,,yes,1,1244j,nao2,ṇaew,yes,1,女,1,no,0,,,,
怔,no,0,,,,no,0,,,,yes,1,正,1,no,0,,,,
怕,no,0,,,,yes,2,0782l,pa4,phaeH; phaek,yes,2,白,1,no,0,,,,
怖,yes,1,01-67,0102a; 0102f; 0102h; 0102j; 0102m; 0102n; 0102r; 0102s; 0102t; 0102u; 0102v; 0102y; 0102z; 0102c; 0102d; 0102e; 0102g; 0102i; 0102k; 0102l; 0102o; 0102p; 0102x; 0102q,biuX; piuX; puH; phuH; piu; piuH; puX; pu; phiu; phu; buH; bu; phuX; biuH; biu; xiéshēng,yes,1,0102m,bu4,phuH,yes,1,父,2,no,0,,,,
怗,no,0,,,,yes,2,0618h,tie1,thep; chiem,yes,1,占,1,no,0,,,,
怙,yes,1,01-01,0049a; 0049g; 0049k; 0049m; 0049o; 0049q; 0049r; 0049t; 0049v; 0049x; 0049y; 0049b; 0049i; 0049f; 0049e; 0049j; 0049l; 0049c; 0049n; 0049p; 0049s; 0049u; 0049h,kuX; ku; khu; huX; ḫuX; kuH; kaH; ḫu; kiə; kiəH; khiə; giə; khuX,yes,1,0049x,hu4,huX,yes,1,古,1,no,0,,,,
怚,no,0,,,,no,0,,,,yes,2,且,1,no,0,,,,
怛,no,0,,,,yes,1,0149g,da2,tat,yes,1,旦,1,no,0,,,,
怜,no,0,,,,no,0,,,,yes,1,令,1,no,0,,,,
思,no,0,,,,yes,3,0973a,si1; si4; sai1,si; siH; səy,yes,2,囟,2,yes,1,0973a,sī,si,*sə {*[s]ə}
怞,no,0,,,,no,0,,,,yes,1,由,1,no,0,,,,
怟,no,0,,,,no,0,,,,yes,1,氐,1,no,0,,,,
怠,no,0,,,,yes,1,0976k',dai4,dəyX,yes,1,以,1,no,0,,,,
怡,no,0,,,,yes,1,0976u,yi2,yi,yes,1,以,1,yes,1,0976u,yí,yi,*lə
怤,no,0,,,,no,0,,,,yes,1,付,1,no,0,,,,
急,no,0,,,,yes,1,0681g,ji2,kip,yes,1,及,1,yes,1,0681g,jí,kip,*kəp {*[k](r)[ə]p}
怦,no,0,,,,yes,1,0825f,peng1,pheaṅ,yes,1,平,1,no,0,,,,
性,no,0,,,,yes,1,0812s,xing4,sieṅH,yes,1,生,1,yes,1,0812s,xìng,sjengH,*seŋ-s
怨,no,0,,,,yes,2,0260c,yuan4,qiwən; qiwənH,yes,2,夗,1,yes,1,0260c,yuàn,'jwonH,*ʔor-s {*[ʔ]o[r]-s}
怩,no,0,,,,yes,1,0563b,ni2,ṇiy,yes,1,尼,1,yes,1,0563b,ní,nrij,*nrəj {*nr[əj]}
怪,no,0,,,,yes,1,0991a,guai4,kweayH,yes,1,圣,1,no,0,,,,
怫,no,0,,,,yes,2,0500o,fu2,biɨyH; biut,yes,2,弗,1,yes,2,0500o,fú,bj+jH; bjut,*but-s {*[b]ut-s}; *but {*[b]ut}
怬,no,0,,,,no,0,,,,yes,1,四,1,no,0,,,,
怭,no,0,,,,yes,1,0405d,bi4,byit,yes,1,必,1,no,0,,,,
怮,no,0,,,,no,0,,,,yes,4,幺,1,no,0,,,,
怯,no,0,,,,yes,1,0642j,qie4,khiaep,yes,1,盍,1,no,0,,,,
怱,no,0,,,,yes,1,1199d,cong1,tshuwṅ,no,0,,,no,0,,,,
怲,no,0,,,,yes,2,0757g,bing3,piaeṅH; piaeṅX,yes,2,丙,1,no,0,,,,
怳,no,0,,,,no,0,,,,yes,1,兄,1,no,0,,,,
怴,no,0,,,,yes,1,1257m,xu4,hiwit,yes,1,戉,1,no,0,,,,
怵,no,0,,,,yes,1,0497h,chu4,ṭhwit,yes,1,术,1,no,0,,,,
恀,yes,1,18-08,0003a; 0003d; 0003e; 0003f; 0003h; 0003i; 0003j; 0003k; 0003l; 0003m; 0003o; 0003q; 0003r; 0003t,ta; taH; tha; ṭae; ṭhae; cieX; chieX; ṭhieX; chiaeX; ḍie; ḍieX; yie; yieH,yes,1,0003h,shi4,cieX,yes,3,多,1,no,0,,,,
恁,no,0,,,,yes,1,0667q,ren4,ñimX,yes,2,壬,1,yes,1,0667q,rèn,nyimX,*nəmʔ {*n[ə]mʔ}
恂,no,0,,,,yes,2,0392k,xun2,swin; swinH,yes,1,勻,1,no,0,,,,
恃,no,0,,,,yes,1,0961y,shi4,jiX,yes,1,止,1,yes,1,0961y,shì,dzyiX,*dəʔ {*[d]əʔ}
恅,no,0,,,,no,0,,,,yes,1,老,1,no,0,,,,
恆,no,0,,,,yes,1,0881d,heng2,həṅ,yes,1,亙,1,yes,1,0881d,héng,hong,*gˤəŋ {*[g]ˤəŋ}
恇,no,0,,,,no,0,,,,yes,1,㞷,1,no,0,,,,
恈,no,0,,,,yes,1,1110b,mou2,miuw,yes,1,牟,1,no,0,,,,
恉,no,0,,,,no,0,,,,yes,1,旨,1,no,0,,,,
恊,no,0,,,,no,0,,,,yes,2,劦,1,no,0,,,,
恌,no,0,,,,yes,1,1145i,tiao1,thew,yes,1,兆,1,no,0,,,,
恍,no,0,,,,yes,1,0706j,huang3,hwaṅX,yes,1,光,1,no,0,,,,
恐,no,0,,,,yes,1,1172d',kong3,khiəwṅX,yes,2,工,2,yes,1,1172d',kǒng,khjowngX,*kʰoŋʔ {*kʰ(r)oŋʔ}
恑,yes,1,19-12,0029a; 0029b; 0029c; 0029d; 0029e; 0029f,ṅiwe; kiweX; giweX; khiweX,yes,1,0029e,gui3,kiweX,yes,1,危,1,no,0,,,,
恔,no,0,,,,yes,1,1166q,xiao4,ḫaewH,yes,1,交,1,no,0,,,,
恕,yes,1,01-56,0094a; 0094f; 0094j; 0094g; 0094o; 0094p; 0094q; 0094r; 0094s; 0094t; 0094u; 0094l; 0094v; 0094y; 0094z; 0094c; 0094b; 0094d; 0094e,ṇiəH; ṇiəX; ñiəX; ñiə; ṇiə; ñiəH; śiəH; siəH; ṭhiəH; nu; nuX; nuH; ṇae,yes,1,0094t,shu4,śiəH,yes,1,女,1,yes,1,0094t,shù,syoH,*n̥a-s
恙,no,0,,,,yes,1,0732g,yang4,yaṅH,yes,1,羊,1,no,0,,,,
恚,no,0,,,,yes,1,0879m,hui4,qiwieH,yes,1,圭,1,no,0,,,,
恛,no,0,,,,no,0,,,,yes,1,回,1,no,0,,,,
恝,no,0,,,,no,0,,,,yes,2,丯,1,no,0,,,,
恟,no,0,,,,no,0,,,,yes,1,凶,1,no,0,,,,
恢,no,0,,,,yes,1,0950b,hui1,khwəy,yes,1,又,1,no,0,,,,
恣,no,0,,,,yes,1,0555f,zi4,tsiyH,yes,1,次,1,yes,1,0555f,zì,tsijH,*tsij-s {*tsi[j]-s}
恤,no,0,,,,yes,1,0410e,xu4,swit,yes,1,血,1,yes,1,0410e,xù,swit,*s-mit {*s-[m]i[t]}
恥,no,0,,,,yes,1,0959a,chi3,ṭhiX,yes,1,耳,1,yes,1,0959a,chǐ,trhiX,*n̥rəʔ {*n̥rə(ŋ)ʔ}
恧,no,0,,,,no,0,,,,yes,2,而,1,no,0,,,,
恨,no,0,,,,yes,1,0416f,hen4,ḫənH,yes,1,艮,1,yes,1,0416f,hèn,honH,*m-qˤən-s {*[m-q]ˤə[n]-s}
恩,no,0,,,,yes,1,0370j,en1,qon,yes,1,因,2,yes,1,0370j,ēn,'on,*ʔˤən {*ʔˤə[n]}
恪,no,0,,,,yes,1,0766g,ke4,khak,yes,1,各,1,no,0,,,,
恫,no,0,,,,yes,2,1176k,tong1; tong4?,thuwṅ; thuwṅH,yes,2,同,1,no,0,,,,
恬,no,0,,,,yes,1,0621b,tian2,dem,yes,1,舌2,1,no,0,,,,
恭,no,0,,,,yes,2,1182l,gong1,kiəwṅ; kuwṅ,yes,1,共,1,yes,1,1182l,gōng,kjowng,*k<r>oŋ
恮,no,0,,,,no,0,,,,yes,2,全,1,no,0,,,,
息,no,0,,,,yes,1,0925a,xi1,sik,yes,1,息,1,yes,1,0925a,xī,sik,*sək
恲,no,0,,,,no,0,,,,yes,1,并,1,no,0,,,,
恿,no,0,,,,no,0,,,,yes,1,用,2,no,0,,,,
悀,no,0,,,,no,0,,,,yes,1,用,2,no,0,,,,
悁,no,0,,,,yes,1,0228c,yuan1,qiwien,yes,1,肙,1,yes,1,0228c,yuān,'jwien,*qʷen
悂,no,0,,,,no,0,,,,yes,1,比,1,no,0,,,,
悃,no,0,,,,yes,1,0420c,kun3,khwonX,yes,1,困,1,no,0,,,,
悄,no,0,,,,yes,1,1149s,qiao3,tshiewX,yes,1,小,1,no,0,,,,
悅,no,0,,,,yes,1,0324o,yue4,yiwet,yes,1,兌,1,yes,1,0324o,yuè,ywet,*lot
悆,yes,1,01-42,0082a; 0082f; 0082g; 0082i; 0082l; 0082o; 0082q; 0082s; 0082t; 0082v; 0082x; 0082y; 0082b; 0082u; 0082d; 0082m; 0082c,yiə; yiəH; ziəX; ziə; śiae; du; ḍae; śiə; thu; duX; thuX; ḍiə; ḍiəH,yes,1,0082g,yu4,yiəH,yes,1,余,1,no,0,,,,
悇,no,0,,,,no,0,,,,yes,3,余,1,no,0,,,,
悈,no,0,,,,no,0,,,,yes,2,戒,1,no,0,,,,
悉,no,0,,,,yes,1,1257e,xi1,sit,yes,1,悉,1,yes,1,1257e,xī,sit,*sit {*[s]i[t]}
悊,no,0,,,,yes,1,0287d,zhe2,ṭiet,yes,1,折,1,no,0,,,,
悋,no,0,,,,no,0,,,,yes,1,吝,1,no,0,,,,
悌,no,0,,,,yes,1,0591f,ti4,deyH,yes,2,弟,1,no,0,,,,
悍,no,0,,,,yes,1,0139h',han4,ḫanH,yes,1,干,1,no,0,,,,
悐,no,0,,,,yes,1,0856e,ti4,thek,yes,1,狄,1,no,0,,,,
悒,no,0,,,,yes,1,0683f,yi4,qip,yes,1,邑,1,no,0,,,,
悔,no,0,,,,yes,2,0947s,hui3,hwəyH; hwəyX,yes,2,母,1,yes,1,0947s,huǐ,xwojX,*m̥ˤəʔ
悕,no,0,,,,yes,1,0549b,xi1,xiɨy,yes,1,希,1,no,0,,,,
悖,no,0,,,,yes,2,0491d,bei4; bo2,bwəyH; bwət,yes,2,孛,1,yes,1,0491d,bèi,bwojH,*bˤut-s {*[b]ˤut-s}
悗,no,0,,,,yes,2,0222e,man2; men4,man; mwənX,yes,1,免,1,no,0,,,,
悚,no,0,,,,yes,1,1222m,song3,siəwṅX,yes,1,束2,1,no,0,,,,
悛,no,0,,,,yes,1,0468c',quan1,tshiwen,yes,1,允,1,no,0,,,,
悝,no,0,,,,no,0,,,,yes,2,里,1,no,0,,,,
悞,yes,1,01-35,0059a; 0059d; 0059e; 0059f; 0059g; 0059j; 0059h; 0059k,ṅu; ṅuH; ṅiuX; ṅiu,yes,1,0059e,wu4,ṅuH,no,0,,,no,0,,,,
悟,yes,1,01-29,0058a; 0058e; 0058f; 0058j; 0058k; 0058l; 0058m; 0058n; 0058o; 0058p; 0058q; 0058s; 0058t; 0058v,ṅuX; ṅu; ṅuH; ṅiəX; ṅae; ṅiə; ṅiəH,yes,1,0058j,wu4,ṅuH,yes,1,五,1,yes,1,0058j,wù,nguH,*ŋˤa-s
悠,no,0,,,,yes,1,1077c,you1,yuw,yes,1,攸,1,yes,1,1077c,yōu,yuw,*liw
悢,no,0,,,,no,0,,,,yes,1,良,1,no,0,,,,
患,no,0,,,,yes,1,0159f,huan4,hwaenH,yes,1,串,1,yes,1,0159f,huàn,hwaenH,*gˤron-s {*[g]ˤro[n]-s}
悤,no,0,,,,yes,1,1199c,cong1,tshuwṅ,yes,1,悤,1,no,0,,,,
悰,no,0,,,,no,0,,,,yes,1,宗,1,no,0,,,,
悱,no,0,,,,yes,1,0579h,fei3,phiɨyX,yes,1,非,1,no,0,,,,
悲,no,0,,,,yes,1,0579u,bei1,piy,yes,1,非,1,yes,1,0579u,bēi,pij,*prəj
悴,no,0,,,,yes,1,0490j,cui4,dzwiyH,yes,1,卒,1,no,0,,,,
悵,no,0,,,,yes,1,0721l,chang4,ṭhiaṅH,yes,1,長,1,yes,1,0721l,chàng,trhjangH,*tʰraŋ-s
悶,no,0,,,,yes,1,0441d,men1,mwon,yes,1,門,1,no,0,,,,
悷,no,0,,,,yes,1,0532b,li4,leyH,yes,1,戾,1,no,0,,,,
悸,no,0,,,,yes,1,0538e,ji4,giwiyH,yes,1,季,1,yes,1,0538e,jì,gjwijH,*gʷit-s {*[g]ʷi[t]-s}
悹,no,0,,,,no,0,,,,yes,3,官,1,no,0,,,,
悺,no,0,,,,no,0,,,,yes,1,官,1,no,0,,,,
悻,no,0,,,,no,0,,,,yes,1,幸,1,no,0,,,,
悼,no,0,,,,yes,1,1126l,dao4,dawH,yes,1,卓,1,yes,1,1126l,dào,dawH,*dˤawk-s {*[d]ˤawk-s}
悽,no,0,,,,yes,1,0592e,qi1,tshey,yes,1,妻,1,no,0,,,,
悾,no,0,,,,yes,3,1172z,kong1,khaewṅ; khuwṅ; khuwṅH,yes,3,工,2,no,0,,,,
惀,no,0,,,,yes,2,0470g,lun2; lun3,lwin; lwonX,yes,2,侖,1,no,0,,,,
惁,no,0,,,,no,0,,,,yes,1,析,1,no,0,,,,
惂,no,0,,,,no,0,,,,yes,1,臽,1,no,0,,,,
惃,no,0,,,,no,0,,,,yes,2,昆,1,no,0,,,,
惄,no,0,,,,yes,1,1031p,ni4,nek,yes,1,叔,1,no,0,,,,
情,no,0,,,,yes,1,0812l',qing2,dzieṅ,yes,1,生,1,yes,1,0812l',qíng,dzjeng,*dzeŋ {*[dz]eŋ}
惆,yes,1,13-26,1083a; 1083f; 1083h; 1083i; 1083j; 1083k; 1083l; 1083m; 1083n; 1083o; 1083p; 1083r; 1083s; 1083t; 1083u; 1083v; 1083x; 1083y; 1083z,ciuw; ciuwX; ṭaew; ṭiuw; ṭhiuw; ḍiuw; tew; dew; tawX; thek; ibid.,yes,1,1083k,chou2,ṭhiuw,yes,1,周,1,no,0,,,,
惇,no,0,,,,yes,1,0464n,dun1,ciwin,yes,2,𦎫,1,no,0,,,,
惉,no,0,,,,no,0,,,,yes,1,占,1,no,0,,,,
惋,no,0,,,,no,0,,,,yes,1,夗,1,no,0,,,,
惌,no,0,,,,yes,1,0260h,wan3,qiwənX,yes,2,夗,1,no,0,,,,
惎,no,0,,,,yes,1,0952c',ji4,giH,yes,1,其,1,no,0,,,,
惏,no,0,,,,yes,1,0655j,lan2,lom,yes,1,林,1,no,0,,,,
惐,no,0,,,,no,0,,,,yes,3,或,1,no,0,,,,
惑,no,0,,,,yes,1,0929q,huo4,ḫwək,yes,1,或,1,yes,1,0929q,huò,hwok,*ɢʷˤək {*[ɢ]ʷˤək}
惓,no,0,,,,no,0,,,,yes,2,龹,1,no,0,,,,
惔,no,0,,,,yes,1,0617k,tan2,dam,yes,1,炎,1,no,0,,,,
惕,no,0,,,,yes,1,0850i,ti4,thek,yes,1,易,1,yes,1,0850i,tì,thek,*l̥ˤek
惘,no,0,,,,yes,1,0742b',wang3,miaṅX,yes,1,亡,1,yes,1,0742b',wǎng,mjangX,*maŋʔ
惙,no,0,,,,yes,1,0295d,chuo4,ṭiwet,yes,1,叕,1,no,0,,,,
惚,no,0,,,,yes,1,0503p,hu1,hwət,yes,1,勿,1,no,0,,,,
惛,no,0,,,,yes,1,0457n,hun1,hwon,yes,3,昏,1,no,0,,,,
惜,no,0,,,,yes,1,0798f,xi1,siek,yes,1,昔,1,yes,1,0798f,xī,sjek,*sak {*[s]Ak}
惝,no,0,,,,yes,1,0725l,chang3,chiaṅX,yes,1,尚,1,yes,1,0725l,chǎng,tsyhangX,*tʰaŋʔ
惟,no,0,,,,yes,1,0575n,wei2,yiwiy,yes,1,鷕,1,yes,1,0575n,wéi,ywij,*ɢʷij
惠,no,0,,,,yes,1,0533a,hui4,hweyH,yes,1,惠,1,yes,1,0533a,huì,hwejH,*ɢʷˤij-s {*[ɢ]ʷˤi[j]-s}
惡,no,0,,,,yes,3,0805h,e4; wu1; wu4,qak; qu; quH,yes,3,亞,1,yes,2,0805h,è; wù,'ak; 'uH,*ʔˤak; *ʔˤak-s
惢,no,0,,,,no,0,,,,yes,3,惢,1,no,0,,,,
惰,yes,1,19-16,0011a; 0011b; 0011c; 0011d; 0011e; 0011f; 0011g; 0011h; 0011i; 0011j; 0011k; 0011l,dwaX; siweH; thwaX; hiwieH; hiwie; ziwe; siweX; ḍiwe; twaX; dwaH,yes,2,0011l,duo4,dwaH; dwaX,yes,2,隓,1,yes,1,0011l,duò,dwaX,*lˤojʔ
惱,no,0,,,,no,0,,,,yes,1,腦,1,no,0,,,,
惲,no,0,,,,no,0,,,,yes,1,軍,1,no,0,,,,
想,no,0,,,,yes,1,0731d,xiang3,siaṅX,yes,1,相,1,yes,1,0731d,xiǎng,sjangX,*saŋʔ {*[s]aŋʔ}
惴,no,0,,,,yes,2,0168o,zhui4,chiwenX; ciweH,yes,1,耑,1,no,0,,,,
惵,no,0,,,,no,0,,,,yes,1,世,1,no,0,,,,
惶,no,0,,,,no,0,,,,yes,1,皇,1,no,0,,,,
惷,no,0,,,,yes,1,0463c,chun3,chiwinX,yes,1,屯,1,no,0,,,,
惸,no,0,,,,yes,1,0830a,qiong2,giwieṅ,yes,1,勻,1,no,0,,,,
惹,no,0,,,,no,0,,,,yes,2,若,1,no,0,,,,
惻,no,0,,,,yes,1,0906e,ce4,tṣhik,yes,1,則,1,no,0,,,,
惼,no,0,,,,yes,1,0246f,bian3,pyienX,yes,1,扁,1,no,0,,,,
惽,no,0,,,,yes,1,0457o,hun1,hwon,yes,1,昏,1,no,0,,,,
惾,no,0,,,,yes,1,1177b,zong1,tsuwṅ,yes,1,㚇,1,no,0,,,,
惿,no,0,,,,no,0,,,,yes,1,是,1,no,0,,,,
愀,no,0,,,,yes,2,1092j,qiao3,dziuwX; tshiewX,yes,2,秋,1,no,0,,,,
愁,no,0,,,,yes,1,1092i,chou2,dẓiuw,yes,1,秋,1,yes,1,1092i,chóu,dzrjuw,*dzriw {*[dz]riw}
愃,no,0,,,,yes,1,0164y,xuan1,hiwonX,yes,2,亘,1,no,0,,,,
愅,no,0,,,,yes,1,0931c,ge2,keak,no,0,,,no,0,,,,
愆,no,0,,,,yes,1,0197b,qian1,khien,yes,1,衍,1,yes,1,0197b,qiān,khjen,*C.ɢran {*C.qʰra[n]}
愇,no,0,,,,no,0,,,,yes,1,韋,1,no,0,,,,
愈,yes,1,10-23,0125a; 0125c; 0125d; 0125f; 0125g; 0125h; 0125i; 0125j; 0125k; 0125l; 0125m; 0125n; 0125o; 0125p; 0125q; 0125r; 0125s; 0125t; 0125u; 0125v,,yes,1,0125d,yu4,yiuX,yes,1,俞,1,yes,1,0125d,yù,yuX,*loʔ
