character,in_tex,tex_entry_count,tex_entry_ids,tex_gsr_markers,tex_mc_forms,in_mand2mc,mand2mc_row_count,mand2mc_gsr_values,mand2mc_pinyin_values,mand2mc_mc_nwh_values,in_shengfu,shengfu_row_count,shengfu_phonetic_components,shengfu_component_levels,in_bs_gsr,bs_row_count,bs_gsr_values,bs_pinyin_values,bs_mc_values,bs_oc_values
㗬,yes,1,18-08,0003a; 0003d; 0003e; 0003f; 0003h; 0003i; 0003j; 0003k; 0003l; 0003m; 0003o; 0003q; 0003r; 0003t,ta; taH; tha; ṭae; ṭhae; cieX; chieX; ṭhieX; chiaeX; ḍie; ḍieX; yie; yieH,yes,1,0003f,cha1,ṭhae,yes,1,多,1,no,0,,,,
㗱,no,0,,,,no,0,,,,yes,1,集,1,no,0,,,,
㗲,no,0,,,,no,0,,,,yes,1,畫,1,no,0,,,,
㗿,no,0,,,,no,0,,,,yes,2,可,1,no,0,,,,
㘈,no,0,,,,no,0,,,,yes,2,疑,1,no,0,,,,
㘉,no,0,,,,no,0,,,,yes,1,即,2,no,0,,,,
㘊,no,0,,,,no,0,,,,yes,1,譶,1,no,0,,,,
㘓,no,0,,,,no,0,,,,yes,1,柬,2,no,0,,,,
㘖,no,0,,,,no,0,,,,yes,1,厂,2,no,0,,,,
㘝,no,0,,,,no,0,,,,yes,1,㘝,1,no,0,,,,
㘣,no,0,,,,no,0,,,,yes,2,肙,1,yes,1,228,xuán,zjwen,*s-ɢʷen {*s-[ɢ]ʷe[n]}
㘩,no,0,,,,no,0,,,,yes,1,比,1,no,0,,,,
㘿,no,0,,,,no,0,,,,yes,1,日,1,no,0,,,,
㙙,no,0,,,,no,0,,,,yes,1,尨,1,no,0,,,,
㙚,no,0,,,,no,0,,,,yes,1,𬙮,1,no,0,,,,
㙠,no,0,,,,no,0,,,,yes,2,医,1,no,0,,,,
㙤,no,0,,,,no,0,,,,yes,1,虍,2,no,0,,,,
㙩,no,0,,,,no,0,,,,yes,2,尞,1,no,0,,,,
㙪,no,0,,,,yes,1,0395j,yi4,qeyH,yes,2,壹,1,no,0,,,,
㙷,no,0,,,,no,0,,,,yes,2,溼,1,no,0,,,,
㚃,no,0,,,,no,0,,,,yes,1,𥁕,1,no,0,,,,
㚇,no,0,,,,yes,2,1177a,zong1; zong4,tsuwṅ; tsuwṅH,yes,2,㚇,1,no,0,,,,
㚒,no,0,,,,no,0,,,,yes,1,㚒,1,no,0,,,,
㚔,no,0,,,,yes,1,0696a,nie4,ṇiep,no,0,,,no,0,,,,
㚕,no,0,,,,no,0,,,,yes,1,弗,1,no,0,,,,
㚖,no,0,,,,no,0,,,,yes,2,皋; 㚖,1,no,0,,,,
㚘,no,0,,,,no,0,,,,yes,1,㚘,1,no,0,,,,
㚟,no,0,,,,no,0,,,,yes,1,㲋,1,no,0,,,,
㚤,no,0,,,,yes,1,0918c,yi4,yik,yes,1,弋,1,no,0,,,,
㚲,no,0,,,,no,0,,,,yes,2,占,1,no,0,,,,
㛄,no,0,,,,no,0,,,,yes,1,衣,1,no,0,,,,
㛅,no,0,,,,no,0,,,,yes,1,耳,1,no,0,,,,
㛆,no,0,,,,no,0,,,,yes,1,朶,1,no,0,,,,
㛍,no,0,,,,no,0,,,,yes,4,夾,1,no,0,,,,
㛑,no,0,,,,no,0,,,,yes,1,𣦼,1,no,0,,,,
㛗,no,0,,,,no,0,,,,yes,1,危,2,no,0,,,,
㛙,no,0,,,,no,0,,,,yes,1,辛,1,no,0,,,,
㛥,no,0,,,,no,0,,,,yes,1,沓,1,no,0,,,,
㛪,no,0,,,,no,0,,,,yes,1,甲,2,no,0,,,,
㛱,no,0,,,,no,0,,,,yes,1,鬼,2,no,0,,,,
㛴,no,0,,,,no,0,,,,yes,1,腦,1,no,0,,,,
㛹,no,0,,,,no,0,,,,yes,1,便,1,no,0,,,,
㛼,no,0,,,,no,0,,,,yes,1,臿,1,no,0,,,,
㜅,no,0,,,,no,0,,,,yes,1,畜,1,no,0,,,,
㜇,no,0,,,,no,0,,,,yes,1,圭,1,no,0,,,,
㜎,no,0,,,,yes,1,0876g,xi1,hey,yes,1,奚,1,no,0,,,,
㜏,no,0,,,,yes,1,0227j,yun2,hiun,no,0,,,no,0,,,,
㜗,no,0,,,,no,0,,,,yes,3,參,1,no,0,,,,
㜘,no,0,,,,no,0,,,,yes,1,且,1,no,0,,,,
㜝,no,0,,,,yes,1,0651k',an3,ṅomX,yes,4,今,1,no,0,,,,
㜣,no,0,,,,no,0,,,,yes,3,肰,1,no,0,,,,
㜤,no,0,,,,no,0,,,,yes,2,覃,1,no,0,,,,
㜪,no,0,,,,no,0,,,,yes,1,辛,1,no,0,,,,
