source_page_number,source_line_number,character,pinyin,mc_bs,mc_analyzed,oc_bs,gloss,gsr_raw,normalized_gsr,unicode_utf16
12,25,著,zhuó,drjak,(dr- + -jak D),*m-t<r>ak,put on clothes; be attached,0045n',0045n',U+8457
12,27,著,zhuó,trjak,(tr- + -jak D),*t<r>ak,to place,0045n',0045n',U+8457
12,29,著,zhù,trjoH,(tr- + -jo C),*t<r>ak-s,place (n.); visible,0045n',0045n',U+8457
12,31,躇,chuò,trhjak,(trh- + -jak D),*tʰrak,"jump over, pass over",0045o',0045o',U+8E87
12,33,諸,zhū,tsyo,(tsy- + -jo A),*ta,many,0045p,0045p,U+8AF8
12,35,諸,zhū,tsyo,(tsy- + -jo A),*ta < *tə ʔa 之於,(fusion of 之 + 於),0045p,0045p,U+8AF8
12,37,陼,zhǔ,tsyoX,(tsy- + -jo B),*taʔ,islet,0045q,0045q,U+967C
12,39,署,shǔ,dzyoH,(dzy- + -jo C),*m-taʔ-s,to place; position,0045r,0045r,U+7F72
12,41,緒,xù,zjoX,(z- + -jo B),*s-m-taʔ,arrange in order,0045s,0045s,U+7DD2
12,43,書,shū,syo,(sy- + -jo A),*s-ta,write,0045t,0045t,U+66F8
13,1,暑,shǔ,syoX,(sy- + -jo B),*s-tʰaʔ,heat,0045x,0045x,U+6691
13,3,且,qiě,tshjaeX,(tsh- + -jae B),*tsʰaʔ {*[tsʰ]Aʔ},moreover,0046a,0046a,U+4E14
13,5,且,jū,tsjo,(ts- + -jo A),*tsa,[final particle],0046a,0046a,U+4E14
13,7,祖,zǔ,tsuX,(ts- + -u B),*tsˤaʔ {*[ts]ˤaʔ},ancestor,0046b',0046b',U+7956
13,9,粗,cū,tshu,(tsh- + -u A),*N-sˤra,"coarse, thick (as hair)",0046h',0046h',U+7C97
13,11,徂,cú,dzu,(dz- + -u A),*dzˤa {*[dz]ˤa},"advance, go to",0046i',0046i',U+5F82
13,13,沮,jǔ,dzjoX,(dz- + -jo B),*dzaʔ {*[dz]aʔ},"stop, prevent",0046k,0046k,U+6CAE
13,15,岨,qū,tshjo,(tsh- + -jo A),*tsʰa {*[tsʰ]a},rock covered with earth,0046n,0046n,U+5CA8
13,17,鋤,chú,dzrjo,(dzr- + -jo A),*Cə-l<r>a (MC reflects *s-l<r>a),hoe (n.),0046p',0046p',U+92E4
13,19,鋤,chú,dzrjo,(dzr- + -jo A),*s-l<r>a,to hoe,0046p',0046p',U+92E4
13,21,砠,jū,tshjo,(tsh- + -jo A),*tsʰa {*[tsʰ]a},rock covered with earth,0046q,0046q,U+7820
13,23,鴡,jū,tshjo,(tsh- + -jo A),*tsʰa {*[tsʰ]a},鴡鳩 an aquatic bird,0046s,0046s,U+9D21
13,25,阻,zǔ,tsrjoX,(tsr- + -jo B),*tsraʔ {*[ts]raʔ},filled with obstacles,0046y,0046y,U+963B
