source_page_number,source_line_number,character,pinyin,mc_bs,mc_analyzed,oc_bs,gloss,gsr_raw,normalized_gsr,unicode_utf16
4,31,差,cī,tsrhje,(tsrh- + -je A),*tsʰraj,uneven,0005f,0005f,U+5DEE
4,33,槎,chá,dzrae,(dzr- + -ae A),*dzˤraj {*[dz]ˤraj},cut trees,0005h,0005h,U+69CE
4,35,槎,chá,dzraeX,(dzr- + -ae B),*dzˤrajʔ {*[dz]ˤrajʔ},to cut trees,0005h,0005h,U+69CE
4,37,瑳,cuǒ,tshaX,(tsh- + -a B),*tsʰˤarʔ,white and brilliant,0005i,0005i,U+7473
4,39,磋,cuō,tsha,(tsh- + -a A),*tsʰˤaj {*[tsʰ]ˤaj},"file, polish (v.)",0005j,0005j,U+78CB
4,41,鹺,cuó,dza,(dz- + -a A),*N-tsˤaj {*N-[ts]ˤaj},salt,0005m,0005m,U+9E7A
4,43,嗟,jiē,tsjae,(ts- + -jae A),*tsaj {*tsAj},sigh; alas!,0005n,0005n,U+55DF
5,1,羅,luó,la,(l- + -a A),*rˤaj,a kind of net (on a handle?) (SW: 'bird net'),0006a,0006a,U+7F85
5,3,戈,gē,kwa,(k- + -wa A),*kʷˤaj,dagger-axe,0007a,0007a,U+6208
5,5,划,huá,hwae,(h- + -wae A),*C.gʷˤraj {*C.[g]ʷˤraj},row (v.),0007e,0007e,U+5212
5,7,禾,hé,hwa,(h- + -wa A),*ɢˤoj {*[ɢ]ˤoj},growing grain,0008a,0008a,U+79BE
5,9,和,hé,hwa,(h- + -wa A),*ɢˤoj {*[ɢ]ˤoj},harmonious,0008e,0008e,U+548C
5,11,和,hè,hwaH,(h- + -wa C),*ɢˤoj-s {*[ɢ]ˤoj-s},tune (instruments); respond in singing,0008e,0008e,U+548C
5,13,臥,wò,ngwaH,(ng- + -wa C),*ŋˤoj-s {*[ŋ]ˤ[o]j-s},"lie down, sleep",0009a,0009a,U+81E5
5,15,隓,huī,dwaX,(d- + -wa B),*lˤojʔ,destroy,0011a,0011a,U+9693
5,17,隋,suí,dwaX,(d- + -wa B),*lˤojʔ,to fall,0011b,0011b,U+968B
5,19,隋,suí,dwaX,(d- + -wa B),*lˤojʔ,to fall,0011b,0011b,U+968B
5,21,隋,suì,sjweH,(s- + -jwe C),*s-loj-s,shred sacrificial meat,0011b,0011b,U+968B
5,23,隋,tuǒ,thwaX,(th- + -wa B),*l̥ˤojʔ,shred sacrificial meat,0011b,0011b,U+968B
5,25,隋,huì,xjwieH,(x- + -jwie C),*l̥oj-s (W. dial. *l̥- > x),shred sacrificial meat,0011b,0011b,U+968B
5,27,橢,tuǒ,thwaX,(th- + -wa B),*l̥ˤojʔ,oval,0011c,0011c,U+6A62
5,29,墮,duò,dwaX,(d- + -wa B),*lˤojʔ,to fall,0011e,0011e,U+58AE
5,31,墮,huī,xjwie,(x- + -jwie A),*l̥oj (W. dial. *l̥- > x),destroy,0011e,0011e,U+58AE
5,33,隳,huī,xjwie,(x- + -jwie A),*l̥oj,destroy,0011f,0011f,U+96B3
5,35,隨,suí,zjwe,(z- + -jwe A),*sə.loj,follow,0011g,0011g,U+96A8
5,37,髓,suǐ,sjweX,(s- + -jwe B),*s-lojʔ,marrow,0011h,0011h,U+9AD3
5,39,瀡,suǐ,sjweH,(s- + -jwe C),*s-loj-s,slippery,0011i,0011i,U+7021
5,41,惰,duò,dwaX,(d- + -wa B),*lˤojʔ,lazy,0011l,0011l,U+60F0
5,43,座,zuò,dzwaH,(dz- + -wa C),*dzˤojʔ-s {*[dz]ˤo[j]ʔ-s},seat n.,12,12,U+5EA7
6,1,坐,zuò,dzwaH,(dz- + -wa C),*dzˤojʔ-s {*[dz]ˤo[j]ʔ-s},seat n.,0012a,0012a,U+5750
6,3,坐,zuò,dzwaX,(dz- + -wa B),*dzˤojʔ {*[dz]ˤo[j]ʔ},sit,0012a,0012a,U+5750
6,5,坐,zuò,dzwaX,(dz- + -wa B),*m-dzˤojʔ {*m-[dz]ˤo[j]ʔ},to set,0012a,0012a,U+5750
6,7,剉,cuò,tshwaH,(tsh- + -wa C),*tsʰˤoj-s {*[tsʰ]ˤoj-s},cut,0012e,0012e,U+5249
6,9,髽,zhuā,tsrwae,(tsr- + -wae A),*tsˤroj {*[ts]ˤroj},hair knot for mourning,0012g,0012g,U+9AFD
6,11,鎖,suǒ,swaX,(s- + -wa B),*sˤojʔ {*[s]ˤojʔ},chain,13,13,U+9396
6,13,瑣,suǒ,swaX,(s- + -wa B),*sˤojʔ {*[s]ˤojʔ},chain,0013b,0013b,U+7463
6,15,瑣,suǒ,swaX,(s- + -wa B),*sˤojʔ {*[s]ˤojʔ},"small, fragment",0013b,0013b,U+7463
6,17,蠃,luǒ,lwaX,(l- + -wa B),*rˤojʔ {*[r]ˤo[j]ʔ},kwaX.lwaX a kind of wasp,0014b,0014b,U+8803
6,19,羸,léi,ljwe,(l- + -jwe A),*roj {*[r]o[j]},entangle,0014c,0014c,U+7FB8
6,21,加,jiā,kae,(k- + -ae A),*kˤraj,add,0015a,0015a,U+52A0
6,23,駕,jià,kaeH,(k- + -ae C),*kˤraj-s,hitch horses to a chariot,0015e,0015e,U+99D5
6,25,嘉,jiā,kae,(k- + -ae A),*kˤ<r>aj,excellent,0015g,0015g,U+5609
6,27,沙,shā,srae,(sr- + -ae A),*sˤraj {*[s]ˤraj},sand,0016a,0016a,U+6C99
6,29,娑,suō,sa,(s- + -a A),*sˤaj,"ba.sa saunter, dance",0016e,0016e,U+5A11
6,31,麻,má,mae,(m- + -ae A),*C.mˤraj,hemp,0017a,0017a,U+9EBB
6,33,塺,mò,maH,(m- + -a C),*mˤaj-s,dust,0017c,0017c,U+587A
6,35,磨,mó,ma,(m- + -a A),*mˤaj,"rub, grind",0017f,0017f,U+78E8
6,37,磨,mó,maH,(m- + -a C),*mˤaj-s,grinding stone,0017f,0017f,U+78E8
6,39,糜,mí,mje,(m- + -je A),*C.maj {*C.m(r)aj},"rice gruel; destroy, crush",0017g,0017g,U+7CDC
6,41,靡,mí,mje,(m- + -je A),*maj {*m(r)aj},to share with,0017h,0017h,U+9761
6,43,靡,mǐ,mjeX,(m- + -je B),*majʔ {*m(r)ajʔ},squander,0017h,0017h,U+9761
7,1,靡,mǐ,mjeX,(m- + -je B),*majʔ {*m(r)ajʔ},"not have, not exist",0017h,0017h,U+9761
7,3,靡,mǐ,mjeX,(m- + -je B),*majʔ {*m(r)ajʔ},fall over,0017h,0017h,U+9761
